category_id,genre_id
509658,NA
29595,NA
1863222988,NA
32399,NA
509672,NA
509663,NA
498566,NA
509659,NA
509660,NA
1669431183,NA
26936,NA
743,NA
66082,NA
518184,NA
417752,NA
518203,NA
499973,NA
75467,NA
27284,NA
488190,NA
272263131,NA
13332,NA
15062,12
21779,12
21779,15
21779,36
18122,12
18122,31
1494,5
32982,5
32982,10
32982,31
65654,12
65654,31
27546,5
27546,13
27546,15
27546,33
138585,15
138585,16
138585,35
71375,5
71375,12
71375,13
71375,31
71375,32
33214,5
33214,12
33214,13
33214,15
33214,31
65632,5
65632,12
65632,13
65632,24
65632,31
65632,32
369252,12
369252,13
263490,5
263490,12
263490,31
263490,32
386821,12
386821,15
386821,25
386821,31
500188,5
500188,13
460630,5
460630,24
19619,12
19619,31
30921,10
30921,14
30921,32
491931,5
491931,12
491931,13
491931,24
491168,11
491168,15
491168,24
491168,35
23020,8
23020,13
23020,31
491487,15
417528,12
493597,12
493597,31
493959,5
493959,12
493959,31
493057,5
499003,13
499003,31
29452,35
459931,12
459931,31
1122982998,12
1122982998,31
511224,5
511224,24
511399,8
511391,8
511391,31
511391,32
19801,12
19801,31
512953,12
512953,31
513143,15
513143,16
513143,24
513143,35
1366210635,13
515024,12
515024,25
515025,5
1702520304,12
1702520304,25
1702520304,31
516575,5
516575,24
774680424,4
512710,5
687129551,10
687129551,14
687129551,33
518213,8
518213,9
518213,31
27471,13
27471,31
27471,33
982017546,12
982017546,13
982017546,31
890558948,12
890558948,25
890558948,31
209738946,12
209738946,31
2085980140,32
1910103699,5
848400095,9
848400095,31
1630174498,5
1630174498,12
1630174498,13
1630174498,31
1630174498,32
211335978,31
211335978,32
898206463,31
898206463,32
1282866981,5
1282866981,24
1936054038,8
1936054038,9
1936054038,31
811790981,13
811790981,32
1264310518,5
401587136,5
401587136,15
401587136,24
2132205352,5
2132205352,15
2132205352,36
36799602,12
36799602,31
377101747,4
377101747,12
377101747,24
168648543,5
362339131,12
362339131,31
98473926,32
197489698,12
93798731,10
93798731,13
93798731,14
836372212,8
836372212,31
836372212,35
1630435000,13
1630435000,15
1630435000,32
1630435000,35
1489488028,13
1489488028,32
266795834,12
266795834,31
974753604,12
974753604,13
974753604,31
974753604,32
275186889,5
275186889,32
275186889,33
473851400,31
473851400,32
624536948,13
624536948,14
2112738408,13
2112738408,14
976777994,12
2748,NA
509671,NA
13389,NA
490422,NA
116747788,NA
1599346425,NA
670867987,NA
1469308723,NA
509667,NA
12839,12
12839,15
12839,16
24241,12
1468,5
1468,31
2692,8
2692,31
7595,5
7595,8
7595,31
19745,12
19745,16
19745,31
66366,5
66366,13
66366,24
66246,11
66246,12
66246,15
66246,16
11184,10
66170,5
66170,12
66170,31
80607,5
80607,12
80607,13
80607,15
80607,31
31336,12
31336,31
31339,12
31339,13
31339,32
18846,13
18846,32
207,15
207,16
207,35
9618,31
9618,35
458912,12
458912,31
271304,5
271304,12
271304,13
271304,15
271304,31
271304,32
32502,5
32502,11
32502,13
32502,24
19554,10
19554,13
19554,14
394568,11
394568,13
394568,15
394568,32
19976,8
19976,12
19976,31
490377,13
490377,31
491572,11
491572,13
491572,15
490147,8
490147,31
490147,32
510389,12
510389,15
510389,31
510389,32
20596,12
20596,15
20596,31
6369,12
6369,25
6369,31
29056,12
29056,31
497057,5
497057,12
497057,31
490100,12
490100,25
490100,31
498592,2
498592,31
504651,12
504651,16
499634,9
494184,15
494184,31
494184,36
509538,13
509511,10
509511,13
512923,12
512923,15
512923,16
513181,12
513181,31
513949,8
