time_of_day_id,time_24h,time_12h,hour,minute,AM_PM,part_of_day
0000,00:00,12:00 AM,0,0,AM,night
0015,00:15,12:15 AM,0,15,AM,night
0030,00:30,12:30 AM,0,30,AM,night
0045,00:45,12:45 AM,0,45,AM,night
0100,01:00,01:00 AM,1,0,AM,night
0115,01:15,01:15 AM,1,15,AM,night
0130,01:30,01:30 AM,1,30,AM,night
0145,01:45,01:45 AM,1,45,AM,night
0200,02:00,02:00 AM,2,0,AM,night
0215,02:15,02:15 AM,2,15,AM,night
0230,02:30,02:30 AM,2,30,AM,night
0245,02:45,02:45 AM,2,45,AM,night
0300,03:00,03:00 AM,3,0,AM,night
0315,03:15,03:15 AM,3,15,AM,night
0330,03:30,03:30 AM,3,30,AM,night
0345,03:45,03:45 AM,3,45,AM,night
0400,04:00,04:00 AM,4,0,AM,night
0415,04:15,04:15 AM,4,15,AM,night
0430,04:30,04:30 AM,4,30,AM,night
0445,04:45,04:45 AM,4,45,AM,night
0500,05:00,05:00 AM,5,0,AM,morning
0515,05:15,05:15 AM,5,15,AM,morning
0530,05:30,05:30 AM,5,30,AM,morning
0545,05:45,05:45 AM,5,45,AM,morning
0600,06:00,06:00 AM,6,0,AM,morning
0615,06:15,06:15 AM,6,15,AM,morning
0630,06:30,06:30 AM,6,30,AM,morning
0645,06:45,06:45 AM,6,45,AM,morning
0700,07:00,07:00 AM,7,0,AM,morning
0715,07:15,07:15 AM,7,15,AM,morning
0730,07:30,07:30 AM,7,30,AM,morning
0745,07:45,07:45 AM,7,45,AM,morning
0800,08:00,08:00 AM,8,0,AM,morning
0815,08:15,08:15 AM,8,15,AM,morning
0830,08:30,08:30 AM,8,30,AM,morning
0845,08:45,08:45 AM,8,45,AM,morning
0900,09:00,09:00 AM,9,0,AM,morning
0915,09:15,09:15 AM,9,15,AM,morning
0930,09:30,09:30 AM,9,30,AM,morning
0945,09:45,09:45 AM,9,45,AM,morning
1000,10:00,10:00 AM,10,0,AM,morning
1015,10:15,10:15 AM,10,15,AM,morning
1030,10:30,10:30 AM,10,30,AM,morning
1045,10:45,10:45 AM,10,45,AM,morning
1100,11:00,11:00 AM,11,0,AM,morning
1115,11:15,11:15 AM,11,15,AM,morning
1130,11:30,11:30 AM,11,30,AM,morning
1145,11:45,11:45 AM,11,45,AM,morning
1200,12:00,12:00 PM,12,0,PM,afternoon
1215,12:15,12:15 PM,12,15,PM,afternoon
1230,12:30,12:30 PM,12,30,PM,afternoon
1245,12:45,12:45 PM,12,45,PM,afternoon
1300,13:00,01:00 PM,13,0,PM,afternoon
1315,13:15,01:15 PM,13,15,PM,afternoon
1330,13:30,01:30 PM,13,30,PM,afternoon
1345,13:45,01:45 PM,13,45,PM,afternoon
1400,14:00,02:00 PM,14,0,PM,afternoon
1415,14:15,02:15 PM,14,15,PM,afternoon
1430,14:30,02:30 PM,14,30,PM,afternoon
1445,14:45,02:45 PM,14,45,PM,afternoon
1500,15:00,03:00 PM,15,0,PM,afternoon
1515,15:15,03:15 PM,15,15,PM,afternoon
1530,15:30,03:30 PM,15,30,PM,afternoon
1545,15:45,03:45 PM,15,45,PM,afternoon
1600,16:00,04:00 PM,16,0,PM,afternoon
1615,16:15,04:15 PM,16,15,PM,afternoon
1630,16:30,04:30 PM,16,30,PM,afternoon
1645,16:45,04:45 PM,16,45,PM,afternoon
1700,17:00,05:00 PM,17,0,PM,evening
1715,17:15,05:15 PM,17,15,PM,evening
1730,17:30,05:30 PM,17,30,PM,evening
1745,17:45,05:45 PM,17,45,PM,evening
1800,18:00,06:00 PM,18,0,PM,evening
1815,18:15,06:15 PM,18,15,PM,evening
1830,18:30,06:30 PM,18,30,PM,evening
1845,18:45,06:45 PM,18,45,PM,evening
1900,19:00,07:00 PM,19,0,PM,evening
1915,19:15,07:15 PM,19,15,PM,evening
1930,19:30,07:30 PM,19,30,PM,evening
1945,19:45,07:45 PM,19,45,PM,evening
2000,20:00,08:00 PM,20,0,PM,evening
2015,20:15,08:15 PM,20,15,PM,evening
2030,20:30,08:30 PM,20,30,PM,evening
2045,20:45,08:45 PM,20,45,PM,evening
2100,21:00,09:00 PM,21,0,PM,night
2115,21:15,09:15 PM,21,15,PM,night
2130,21:30,09:30 PM,21,30,PM,night
2145,21:45,09:45 PM,21,45,PM,night
2200,22:00,10:00 PM,22,0,PM,night
2215,22:15,10:15 PM,22,15,PM,night
2230,22:30,10:30 PM,22,30,PM,night
2245,22:45,10:45 PM,22,45,PM,night
2300,23:00,11:00 PM,23,0,PM,night
2315,23:15,11:15 PM,23,15,PM,night
2330,23:30,11:30 PM,23,30,PM,night
2345,23:45,11:45 PM,23,45,PM,night
