user_id,user_name,login_name,broadcaster_type
547946730,jhennycata,jhennycata,affiliate
856948774,lllswizerlll,lllswizerlll,normal
972423271,3NewNoName,3newnoname,affiliate
1398472885,sigma_sigman,sigma_sigman,normal
400163020,bytraap,bytraap,affiliate
151519532,ArbeyRr,arbeyrr,normal
1180631100,jawsh00a,jawsh00a,normal
485228629,ohitsmaggisa,ohitsmaggisa,normal
673710196,WookE46,wooke46,affiliate
652804214,xofect_flaem,xofect_flaem,normal
207290539,Fillbug,fillbug,affiliate
1193607391,YuGiOh_Castellano,yugioh_castellano,partner
43712816,kabutozero,kabutozero,affiliate
1318715420,weatherstream13,weatherstream13,normal
142671987,HDN2gemine,hdn2gemine,affiliate
88736002,Manick88,manick88,affiliate
1347420459,patata_211,patata_211,normal
278659239,zeldaavic,zeldaavic,normal
502136839,kikirimichi_oficial,kikirimichi_oficial,normal
741539854,h0mbiii,h0mbiii,normal
490536978,Shin_Drago,shin_drago,affiliate
424542298,INFIOK,infiok,normal
951976136,cabral3050,cabral3050,normal
653066451,murmuwer,murmuwer,affiliate
176423129,Maliw_Gena,maliw_gena,normal
785121336,ale_infernal,ale_infernal,affiliate
222691485,fastforyouu7,fastforyouu7,affiliate
589234344,you1rstplaya,you1rstplaya,affiliate
159056075,iamverygoofy,iamverygoofy,affiliate
79233283,HulkiDota,hulkidota,affiliate
412221481,thepecanha,thepecanha,partner
123076668,toasteruwuu,toasteruwuu,affiliate
159711415,acedaxx,acedaxx,affiliate
962855109,icoolzz_04,icoolzz_04,normal
518521037,hanaeemi,hanaeemi,affiliate
1355874524,bouteam_01,bouteam_01,normal
1392836844,furlastblw,furlastblw,normal
752091381,Luminneaa,luminneaa,affiliate
528154637,XanderTheGrem,xanderthegrem,affiliate
882638891,crystal_tigress,crystal_tigress,normal
81854534,ItstimetoTURRET,itstimetoturret,affiliate
165150839,Phaballus,phaballus,normal
931528830,letueurdenaine,letueurdenaine,affiliate
489488622,isap1__,isap1__,affiliate
620495088,adam_walker_,adam_walker_,affiliate
210632993,bpg_4,bpg_4,affiliate
64487435,STvictorio,stvictorio,affiliate
450429052,clangoroussoul,clangoroussoul,affiliate
159449225,TestingRiven,testingriven,affiliate
686751920,CHOCOLATE_PAPER,chocolate_paper,normal
126681353,Racotanski,racotanski,affiliate
212992164,onlyjonas,onlyjonas,affiliate
212664403,GastonNite,gastonnite,normal
473825372,ANADAYOT,anadayot,affiliate
1068499043,whyouka,whyouka,normal
1172111503,kraot31,kraot31,normal
1069285522,memojrdesinaloa,memojrdesinaloa,normal
687734932,sageowl57,sageowl57,normal
176357565,Jodiehk,jodiehk,affiliate
871956645,gabe_pivete,gabe_pivete,normal
525533274,PikotaRP,pikotarp,affiliate
122028070,MRCARROTT0PP,mrcarrott0pp,normal
40042496,Rocktox,rocktox,affiliate
147259407,necromazinger,necromazinger,affiliate
709230617,quetinquetangaming,quetinquetangaming,affiliate
488243296,silviolz,silviolz,affiliate
83427554,Airaam,airaam,affiliate
851771552,ShkipMen,shkipmen,normal
869466133,exen0f3ar,exen0f3ar,normal
255262798,ogingy,ogingy,affiliate
1207631995,jiggi58,jiggi58,normal
840564862,der_manu_zockt,der_manu_zockt,normal
1205534846,lecalibre20cm,lecalibre20cm,normal
671481988,NeverColdZ,nevercoldz,normal
773587155,Dr4g0nwo1f,dr4g0nwo1f,affiliate
420347943,Quez1k3,quez1k3,affiliate
94830708,Sura,sura,partner
671285504,checha8as,checha8as,normal
134938881,elmoradar,elmoradar,partner
821625101,1ONGX,1ongx,partner
89129245,BoringWesley,boringwesley,affiliate
608829729,NitoyaNito,nitoyanito,affiliate
134218018,FlashKeyStore,flashkeystore,partner
439091200,eupi_314,eupi_314,normal
104988815,Somethingcat7,somethingcat7,affiliate
1319305366,kai_lowir,kai_lowir,normal
534249669,k0ntr_twitch,k0ntr_twitch,normal
440140011,TwincyTV,twincytv,partner
859832600,woodrocgaming,woodrocgaming,normal
670368041,joaopedro_92,joaopedro_92,normal
280428844,Coff33Gh0stVT,coff33gh0stvt,affiliate
550436895,vahraea,vahraea,affiliate
487915589,rasti2004,rasti2004,normal
118882457,Natherine88,natherine88,partner
511115480,kot3lman,kot3lman,normal
485163311,MrInvizZy1,mrinvizzy1,affiliate
445513904,Maro_panda,maro_panda,normal
1136197717,itz0nlyfade,itz0nlyfade,normal
1043988585,sc4rez115,sc4rez115,normal
511049932,6ielzin,6ielzin,normal
522846553,bg_spain_pl,bg_spain_pl,normal
1150812532,aceahbase,aceahbase,affiliate
887292318,BramsBewz,bramsbewz,partner
431882702,TeeGrizzley,teegrizzley,partner
76808656,YrnRomo,yrnromo,affiliate
447742297,Grumhead,grumhead,affiliate
158073365,the_ga_me_over,the_ga_me_over,normal
235864625,jaekazz,jaekazz,affiliate
906953300,litbrothaa,litbrothaa,normal
876741211,Gunnerkieng,gunnerkieng,normal
153485923,Abaddon,abaddon,partner
532152699,r0wlks,r0wlks,normal
543162853,WitcheeCZ,witcheecz,affiliate
815923710,YourAimi,youraimi,affiliate
601817601,RetroProFrank,retroprofrank,partner
1399325191,dia5notar,dia5notar,normal
751501907,lady_dabz,lady_dabz,normal
465044058,GoldenKirbo117,goldenkirbo117,affiliate
1001063020,b1naree,b1naree,normal
1390018876,luan_rp_2011,luan_rp_2011,normal
731382316,jxshii0,jxshii0,normal
229507672,JackWiilDer,jackwiilder,affiliate
750387596,sunuzilvert,sunuzilvert,affiliate
628883863,lurkmodeon_,lurkmodeon_,affiliate
736887233,SouljaSalute,souljasalute,normal
559284542,XxnightmareTV_,xxnightmaretv_,normal
153944556,theonlyxela,theonlyxela,affiliate
134283572,gunterone_,gunterone_,partner
666894692,the_random_cosmic,the_random_cosmic,affiliate
486801791,NerdCrime,nerdcrime,affiliate
172884356,ThousandBoy,thousandboy,affiliate
106037649,FestiKKv26,festikkv26,affiliate
583532943,VEGstream,vegstream,normal
124125598,xXLastHero,xxlasthero,normal
146145750,harryyyys,harryyyys,normal
1353711931,lilkyn_4,lilkyn_4,normal
254083403,betrezen_da_da_ya,betrezen_da_da_ya,normal
482214234,zumbdsm,zumbdsm,affiliate
1032454545,VIP_Lajay21_TTV,vip_lajay21_ttv,affiliate
256115139,gothicghoulll,gothicghoulll,normal
850133479,DLYN96,dlyn96,affiliate
469500303,R4PTOR_TTV,r4ptor_ttv,affiliate
867369592,eobrizarp,eobrizarp,normal
1348534630,onlyMaveTV,onlymavetv,normal
182124945,verusik_24,verusik_24,affiliate
