stream_id,date_day_id,time_of_day_id,user_id,category_id,category_name,viewer_count,language_id,user_name
315323743715,20251201,1515,407388596,32982,Grand Theft Auto V,30260,fr,aminematue
315272132962,20251201,1515,31919607,27471,Minecraft,17308,es,elxokas
315319962471,20251201,1515,155601320,32982,Grand Theft Auto V,16367,fr,JLTomy
315572585702,20251201,1515,91026471,32982,Grand Theft Auto V,11354,de,Giggand
314971472339,20251201,1515,27115917,32982,Grand Theft Auto V,8765,fr,Kamet0
315319351015,20251201,1515,38121996,27471,Minecraft,8274,de,BastiGHG
316334388826,20251201,1515,163836275,32982,Grand Theft Auto V,8110,en,Lord_Kebun
316152546782,20251201,1515,563908141,27471,Minecraft,8025,en,Joe_Bartolozzi
316425366235,20251201,1515,51496027,27471,Minecraft,7294,en,loltyler1
315477428325,20251201,1515,137347549,32982,Grand Theft Auto V,4853,fr,Locklear
315318053863,20251201,1515,264984080,32982,Grand Theft Auto V,3846,de,abugoku9999
314971168595,20251201,1515,50237189,32982,Grand Theft Auto V,3720,en,RatedEpicz
315572025830,20251201,1515,132199022,32982,Grand Theft Auto V,3612,fr,DVM_Medja
315271865826,20251201,1515,122808988,32982,Grand Theft Auto V,3572,de,edizderbreite
315877042519,20251201,1515,36340781,516575,VALORANT,2536,en,tarik
315875467479,20251201,1515,145015519,516575,VALORANT,2523,en,Foolish
315305212388,20251201,1515,526168468,32982,Grand Theft Auto V,2490,fr,MrSal_59
316278873305,20251201,1515,47571184,32982,Grand Theft Auto V,2228,en,TreyJenk
315305876964,20251201,1515,97610047,516575,VALORANT,2131,fr,brawks
315304784740,20251201,1515,452454652,32982,Grand Theft Auto V,1891,fr,Nikos
315271430242,20251201,1515,522692765,27471,Minecraft,1864,es,Noni
315876288087,20251201,1515,26154978,32982,Grand Theft Auto V,1806,en,Sykkuno
316319230426,20251201,1515,49914195,27471,Minecraft,1791,es,Conterstine
315304597348,20251201,1515,125323544,32982,Grand Theft Auto V,1753,fr,xo_trixy
316696475764,20251201,1515,181743137,516575,VALORANT,1711,pt,XAROLA_
314971284179,20251201,1515,169558955,32982,Grand Theft Auto V,1679,fr,Mehdoche
315319873895,20251201,1515,198939622,32982,Grand Theft Auto V,1663,de,onlyjson
315554745318,20251201,1515,172312401,27471,Minecraft,1600,de,nooreax
316335523546,20251201,1515,56990029,32982,Grand Theft Auto V,1550,en,Chatterbox
315323583715,20251201,1515,42549067,32982,Grand Theft Auto V,1526,fr,Aenot
315783562968,20251201,1515,223191589,27471,Minecraft,1501,en,Tubbo
316211478240,20251201,1515,557148694,27471,Minecraft,1385,en,Couriway
316080133980,20251201,1515,36533048,27471,Minecraft,1360,es,Shadoune666
315569214182,20251201,1515,163480918,27471,Minecraft,1117,en,stan616
315401261559,20251201,1515,191043512,516575,VALORANT,1070,en,Grimm
315319321063,20251201,1515,259040687,32982,Grand Theft Auto V,1016,de,JohnFranklyn
316278976857,20251201,1515,53430798,32982,Grand Theft Auto V,959,en,Burn
315325033443,20251201,1515,198363811,27471,Minecraft,957,es,polispol1
316564096118,20251201,1515,758175134,32982,Grand Theft Auto V,954,pt,gordaons1
315317799143,20251201,1515,108539974,32982,Grand Theft Auto V,947,de,Hector
314971092051,20251201,1515,195942193,32982,Grand Theft Auto V,895,en,Tyrone
315302354148,20251201,1515,61582473,27471,Minecraft,840,fr,BotKZ
315572931814,20251201,1515,1188677689,32982,Grand Theft Auto V,833,de,Furo99
316698118388,20251201,1515,610596166,516575,VALORANT,813,es,giooomz
315402280951,20251201,1515,38433240,516575,VALORANT,792,en,ShahZaM
315566146918,20251201,1515,916028465,27471,Minecraft,786,de,Felikah
315319085543,20251201,1515,168348436,32982,Grand Theft Auto V,775,de,xrick75
315570960742,20251201,1515,173044445,32982,Grand Theft Auto V,766,el,SERVOS_
316280022361,20251201,1515,490245656,27471,Minecraft,763,en,Purpled
315401707639,20251201,1515,421560387,516575,VALORANT,712,en,itsRyanHiga
315272627810,20251201,1515,440140011,32982,Grand Theft Auto V,710,fr,TwincyTV
316212507872,20251201,1515,1125937485,32982,Grand Theft Auto V,708,en,notGEEGA
315304451044,20251201,1515,31997899,516575,VALORANT,707,fr,HeavenFox
315477890533,20251201,1515,30396958,32982,Grand Theft Auto V,699,fr,CaMaK
315272036706,20251201,1515,529436270,32982,Grand Theft Auto V,698,fr,Qassimiento
315272655330,20251201,1515,109492660,32982,Grand Theft Auto V,686,es,Reborn
315304304228,20251201,1515,138004464,32982,Grand Theft Auto V,677,fr,AP_R0se
316335075802,20251201,1515,158577991,32982,Grand Theft Auto V,667,en,carmen
314954330450,20251201,1515,73001035,516575,VALORANT,644,fr,LilYaang
316427359323,20251201,1515,24057744,27471,Minecraft,618,en,Sneegsnag
315303972324,20251201,1515,418644143,32982,Grand Theft Auto V,608,de,Loyd
314857172052,20251201,1515,769581131,32982,Grand Theft Auto V,580,ru,OSCARage
315271601122,20251201,1515,179279586,32982,Grand Theft Auto V,579,it,Kertus
315271036002,20251201,1515,126655254,32982,Grand Theft Auto V,569,en,DCampion
315324201059,20251201,1515,94830708,32982,Grand Theft Auto V,560,fr,Sura
315270812514,20251201,1515,216906109,32982,Grand Theft Auto V,547,it,Mezzogiorno
315776781016,20251201,1515,151819490,516575,VALORANT,545,en,Keeoh
315316381031,20251201,1515,881424793,516575,VALORANT,509,de,Lehlelo
315323501539,20251201,1515,22634701,32982,Grand Theft Auto V,500,fr,dealjb
314930708433,20251201,1515,552402685,32982,Grand Theft Auto V,497,pt,Pantulive
316331622234,20251201,1515,38548231,27471,Minecraft,490,pt,Malena0202
315402672375,20251201,1515,42022015,32982,Grand Theft Auto V,489,en,Nakkida
316424302939,20251201,1515,41382559,518184,Phasmophobia,489,en,JOJOsaysbreee
315478900197,20251201,1515,275074673,32982,Grand Theft Auto V,485,it,CapitanoCima
315876276183,20251201,1515,164536049,518184,Phasmophobia,471,en,EpicTightPants
315475264101,20251201,1515,104448170,32982,Grand Theft Auto V,468,de,Ausrastenistmeinhobby
315783762904,20251201,1515,238166443,516575,VALORANT,466,en,ellum
316335868506,20251201,1515,153667766,27471,Minecraft,466,en,claraatwork
315402178679,20251201,1515,232951933,27471,Minecraft,457,en,Linkzzey
315304569572,20251201,1515,125260461,32982,Grand Theft Auto V,456,fr,BLAZX
315875069015,20251201,1515,157993775,32982,Grand Theft Auto V,445,en,Kiva
315322216547,20251201,1515,46526453,32982,Grand Theft Auto V,431,fr,TriplaXion
315319475559,20251201,1515,663103118,32982,Grand Theft Auto V,431,de,Visky
315273518050,20251201,1515,18887776,32982,Grand Theft Auto V,422,fr,MoMaN
315273070946,20251201,1515,21565409,32982,Grand Theft Auto V,412,es,ElvisaYomastercard
316282100569,20251201,1515,63321379,26936,Music,412,en,The8BitDrummer
315478977765,20251201,1515,452051715,32982,Grand Theft Auto V,412,ru,shoxxie_dead1nside
314954126930,20251201,1515,246532465,27471,Minecraft,408,pt,Tiagovski555YT
315304492772,20251201,1515,38489376,32982,Grand Theft Auto V,391,pt,SorrisoDoZorlak
315876585175,20251201,1515,141115785,27471,Minecraft,382,en,AriesAkana
315476633573,20251201,1515,452538791,27471,Minecraft,379,nl,SkepTriq
315271525218,20251201,1515,893413218,27471,Minecraft,375,es,laPoblet
314971112915,20251201,1515,130152638,32982,Grand Theft Auto V,373,fr,AnaisMRN
315875863127,20251201,1515,1303454987,27471,Minecraft,365,en,puppiestummies
315316365671,20251201,1515,91089367,32982,Grand Theft Auto V,359,de,ApudoX
315318718823,20251201,1515,127529570,32982,Grand Theft Auto V,351,de,Freddie
315783825112,20251201,1515,660555943,32982,Grand Theft Auto V,243,en,jayunmatched
316643824885,20251201,1515,49385219,516575,VALORANT,451,pt,oldmanspacca
315572476518,20251201,1515,164657485,516575,VALORANT,394,tr,xeus1tap
315271133922,20251201,1515,645911728,32982,Grand Theft Auto V,382,fr,Khadim
316645089781,20251201,1515,942813668,32982,Grand Theft Auto V,362,pt,todurooficial
316426422747,20251201,1515,548633177,26936,Music,361,en,MiaMakesMusic
315271429730,20251201,1515,112553336,32982,Grand Theft Auto V,353,fr,Zaardoz
315271121890,20251201,1515,422226123,32982,Grand Theft Auto V,347,fr,MoumouSx
314813961813,20251201,1515,1009559003,32982,Grand Theft Auto V,343,ru,xtendzo
316427552987,20251201,1515,255727514,518184,Phasmophobia,340,en,th3beardedbaron
314856868820,20251201,1515,246221386,32982,Grand Theft Auto V,324,da,ConnieHeinz
315875070935,20251201,1515,645185149,27471,Minecraft,320,en,doogile
315874825047,20251201,1515,26560695,516575,VALORANT,317,en,Shiphtur
315324131299,20251201,1515,844550406,516575,VALORANT,317,fr,Lauwdaa
316279326809,20251201,1515,137517206,516575,VALORANT,317,en,Kaemii
315303778276,20251201,1515,84886230,32982,Grand Theft Auto V,311,fr,Scok
315783358168,20251201,1515,65824161,32982,Grand Theft Auto V,304,en,Client
316644805877,20251201,1515,46615641,32982,Grand Theft Auto V,291,pt,Cotonete
315478233829,20251201,1515,458017233,32982,Grand Theft Auto V,288,de,pietrolombardi
315572867046,20251201,1515,158399741,32982,Grand Theft Auto V,287,de,dj_headschot
316426789211,20251201,1515,579629517,27471,Minecraft,283,en,WaxFraud
315783763672,20251201,1515,665756558,516575,VALORANT,283,en,tokibbi
315319872871,20251201,1515,75309526,516575,VALORANT,282,de,bucher
315322861027,20251201,1515,166594923,32982,Grand Theft Auto V,270,fr,Hawria
316150994142,20251201,1515,464830027,32982,Grand Theft Auto V,265,en,BigDrowZy
315303837540,20251201,1515,87864368,32982,Grand Theft Auto V,263,de,AladdinTV
315324020195,20251201,1515,486292881,32982,Grand Theft Auto V,262,fr,Vlad_CKA
316644775029,20251201,1515,742444529,32982,Grand Theft Auto V,259,pt,PUMACDDRJ
315570480870,20251201,1515,109163696,32982,Grand Theft Auto V,257,it,Berlino
316334550106,20251201,1515,272628458,26936,Music,256,en,JoPlaysViolin
315273141346,20251201,1515,887292318,516575,VALORANT,255,fr,BramsBewz
315475146085,20251201,1515,27430767,27471,Minecraft,254,de,Veni
314954995794,20251201,1515,1033731504,32982,Grand Theft Auto V,253,ru,n3vschet
315324754147,20251201,1515,92463701,32982,Grand Theft Auto V,250,it,Cedduzzo
315322476771,20251201,1515,96133904,32982,Grand Theft Auto V,248,fr,Drakony
316698486388,20251201,1515,827226816,32982,Grand Theft Auto V,243,pt,telasconews
315401478647,20251201,1515,100255206,32982,Grand Theft Auto V,243,en,BeefyFinger
315272453602,20251201,1515,120951864,32982,Grand Theft Auto V,238,fr,Furax22
315875850071,20251201,1515,109826174,27471,Minecraft,238,en,KaraCorvus
315784382552,20251201,1515,131451352,27471,Minecraft,238,en,killdozer_tv
315323357795,20251201,1515,194431028,27471,Minecraft,237,fr,MathoX
