stream_id,date_day_id,time_of_day_id,user_id,category_id,category_name,viewer_count,language_id,user_name
315296537572,3330,1630,407388596,32982,Grand Theft Auto V,29019,fr,aminematue
315865232599,3330,1630,639654714,27471,Minecraft,25446,es,QuackityToo
316316926810,3330,1630,121510236,27471,Minecraft,14854,es,juansguarnizo
315264497762,3330,1630,155601320,32982,Grand Theft Auto V,13290,fr,JLTomy
316319481050,3330,1630,54748186,27471,Minecraft,9797,es,Roier
315263715426,3330,1630,27115917,32982,Grand Theft Auto V,9311,fr,Kamet0
316319316826,3330,1630,632564662,27471,Minecraft,9207,en,chibidoki
316077684316,3330,1630,40934651,27471,Minecraft,8876,en,Ludwig
315777266008,3330,1630,126750144,27471,Minecraft,7912,es,CrystalMolly
315562770278,3330,1630,137347549,32982,Grand Theft Auto V,5292,fr,Locklear
316315540314,3330,1630,128440061,27471,Minecraft,5103,en,Zentreya
315297372516,3330,1630,132199022,32982,Grand Theft Auto V,4608,fr,DVM_Medja
315564127334,3330,1630,25492878,27471,Minecraft,3788,en,ZombieCleo
316080133980,3330,1630,36533048,27471,Minecraft,3703,es,Shadoune666
315554745318,3330,1630,172312401,27471,Minecraft,3670,de,nooreax
316267331417,3330,1630,84316241,32982,Grand Theft Auto V,3509,en,PENTA
314967486931,3330,1630,50237189,32982,Grand Theft Auto V,3418,en,RatedEpicz
315294964708,3330,1630,133528221,27471,Minecraft,3267,es,aXoZer
315294869092,3330,1630,522692765,27471,Minecraft,3216,es,Noni
315161610354,3330,1630,878179800,27471,Minecraft,3117,es,Meica05
316319230426,3330,1630,49914195,27471,Minecraft,3039,es,Conterstine
316319765594,3330,1630,431882702,32982,Grand Theft Auto V,3025,en,TeeGrizzley
316411276123,3330,1630,126678134,32982,Grand Theft Auto V,2983,en,OfficerMesser
315294451940,3330,1630,140846786,516575,VALORANT,2967,fr,fugu_fps
315316453987,3330,1630,46715780,27471,Minecraft,2744,es,Nexxuz
315776763096,3330,1630,26154978,32982,Grand Theft Auto V,2424,en,Sykkuno
315297924324,3330,1630,65876095,27471,Minecraft,2344,es,ZormanWorld
315776811736,3330,1630,145015519,516575,VALORANT,2256,en,Foolish
315317870947,3330,1630,200002745,27471,Minecraft,2213,es,coldifiied
315866187479,3330,1630,211121982,27471,Minecraft,1910,es,vickypalami
315262750690,3330,1630,476005292,27471,Minecraft,1889,es,imantado
315469033957,3330,1630,198939622,32982,Grand Theft Auto V,1737,de,onlyjson
315313670883,3330,1630,452454652,32982,Grand Theft Auto V,1678,fr,Nikos
316268172761,3330,1630,140729095,32982,Grand Theft Auto V,1462,en,KittenQG
315296048228,3330,1630,42549067,32982,Grand Theft Auto V,1454,fr,Aenot
316200458848,3330,1630,175383693,27471,Minecraft,1397,en,sylvee
315296926948,3330,1630,125323544,32982,Grand Theft Auto V,1330,fr,xo_trixy
316081379036,3330,1630,681384353,27471,Minecraft,1318,es,FeirlyGab
315316418659,3330,1630,169558955,32982,Grand Theft Auto V,1314,fr,Mehdoche
315048783977,3330,1630,37650924,27471,Minecraft,1251,en,chiblee
316409074267,3330,1630,140797143,27471,Minecraft,1235,es,E_MasterSensei
316202827488,3330,1630,549757912,518184,Phasmophobia,1202,en,Mioshi
316081516636,3330,1630,749288605,27471,Minecraft,1182,es,jhdelacruz777
316405070171,3330,1630,490245656,27471,Minecraft,1172,en,Purpled
316139963358,3330,1630,181156561,27471,Minecraft,1136,en,HeavenlyFather
315317456611,3330,1630,198363811,27471,Minecraft,1135,es,polispol1
315865920855,3330,1630,110066407,27471,Minecraft,1127,en,hanner
315297206884,3330,1630,526168468,32982,Grand Theft Auto V,1050,fr,MrSal_59
314967448915,3330,1630,195942193,32982,Grand Theft Auto V,990,en,Tyrone
315396254711,3330,1630,39464264,27471,Minecraft,948,en,APlatypuss
316265005529,3330,1630,248600377,27471,Minecraft,946,en,infume
315264144482,3330,1630,31997899,32982,Grand Theft Auto V,885,fr,HeavenFox
315867429463,3330,1630,189152381,27471,Minecraft,865,en,Samwitch
316189504352,3330,1630,31894912,27471,Minecraft,819,es,Delt4Forc3
316410270555,3330,1630,882215597,516575,VALORANT,804,en,POPPIN
316138857950,3330,1630,457481506,27471,Minecraft,800,es,deargia
315297765732,3330,1630,75802639,27471,Minecraft,786,es,MarkiLokurasY
314849884628,3330,1630,556356067,516575,VALORANT,767,ru,Almighty9od
315264824930,3330,1630,529436270,32982,Grand Theft Auto V,719,fr,Qassimiento
316265324633,3330,1630,158577991,32982,Grand Theft Auto V,695,en,carmen
315563015910,3330,1630,64340525,26936,Music,682,de,suuN
316082182108,3330,1630,775286650,32982,Grand Theft Auto V,677,en,BobbyRayGray
315561687654,3330,1630,168348436,32982,Grand Theft Auto V,677,de,xrick75
315264780386,3330,1630,440140011,32982,Grand Theft Auto V,671,fr,TwincyTV
316320600026,3330,1630,129108719,27471,Minecraft,669,es,GirlOfNox
316079204060,3330,1630,651692791,32982,Grand Theft Auto V,664,en,HIIMSHANKZ
315005478248,3330,1630,57519051,32982,Grand Theft Auto V,659,en,DarkViperAU
315315863267,3330,1630,138004464,32982,Grand Theft Auto V,642,fr,AP_R0se
315260679138,3330,1630,39692658,27471,Minecraft,611,es,ElOjoNinja
315265541474,3330,1630,28276981,26936,Music,594,en,FrenchStallion
315776781016,3330,1630,151819490,516575,VALORANT,566,en,Keeoh
316139168094,3330,1630,93542392,32982,Grand Theft Auto V,563,es,Eskimalito
315396265591,3330,1630,86061418,27471,Minecraft,555,en,5up
316265107161,3330,1630,569342750,27471,Minecraft,538,en,BadBoyHalo
316263466201,3330,1630,41382559,518184,Phasmophobia,526,en,JOJOsaysbreee
315313465187,3330,1630,750035878,32982,Grand Theft Auto V,516,fr,Bacy213
315776818648,3330,1630,232951933,27471,Minecraft,514,en,Linkzzey
