category_id,num_of_streams
33214,4199
509658,4029
516575,2727
32982,2226
512710,1922
27471,1917
1494,1818
21779,1782
491487,1715
511224,1638
23020,1592
2112738408,1413
32399,1371
1264310518,1294
168648543,1233
515025,988
18122,975
29595,909
511391,879
460630,844
66082,674
624536948,631
30921,595
509660,555
272952894,518
26936,502
493057,491
1672324422,459
1081998272,416
518184,412
509672,410
551919008,396
513181,384
1846512643,354
464339927,350
401587136,344
490147,344
766571430,334
491931,312
1282866981,309
1702520304,309
2011938005,303
497057,288
263490,288
362339131,280
997367275,278
1604702426,278
24241,276
493959,273
1294658629,268
848400095,266
272263131,266
19619,258
512953,257
982348888,255
500188,233
417752,226
1286077738,224
1669431183,223
27284,219
499973,218
66170,212
513143,191
2068583461,190
1749963163,184
498592,182
36799602,178
55453844,177
459931,174
27546,174
512923,168
2132205352,164
490377,161
98473926,160
65876,157
1910103699,156
271304,153
66366,149
386821,143
458781,140
1421097847,140
209738946,139
490744,135
4789,134
515024,133
509659,132
2012789438,129
518203,124
197489698,123
1599346425,117
213930085,116
1095275650,116
509663,115
262437666,114
735904419,111
1469308723,109
514974,109
504463,108
21465,107
653624336,106
