category_id,category_name,igdb_id
1969359801,Nocturia The Game,247912
536199331,Detektiv,383546
269805965,Dark Quest 4,345656
599619814,Casino Jackpot,206893
458729,UNO & Friends,28711
514201,Spin Rhythm XD,122416
1054867902,Dart,246439
1435964601,Mr. Hopp's Playhouse,125073
15554,Syberia,890
511981,Drunken Wrestlers 2,111223
2073749632,Recycling Center Simulator,298400
1065093334,Supercar Collection Simulator,329962
1645899384,I'm Counting to 6...,284638
1677489258,I'm on Observation Duty 4,184481
381933311,Dungeon Clawler,290897
1896092709,OpenFront,333095
1429674651,Slots,287558
28947,Recettear: An Item Shop's Tale,12524
383341,Miscreated,17379
511850,Saint Seiya: Awakening,122667
362350179,Potion Craft,142941
27349,Kung Fu Rider,16128
65871,Among the Sleep,7642
1301482538,The New Flesh,344057
11406,SoulCalibur,1564
1564244055,Corner Shop: NightShift,356955
966225131,Nothing,331747
518005,RPG Maker MZ,137146
512089,Astalon: Tears of the Earth,80885
2120543980,Lair of Torment,266799
497512,Starfeld,55953
1973021295,TELEFORUM,226605
489283000,Gatekeeper,222906
356786784,Super Monkey Ball Banana Rumble,287854
971832129,Chacara,219994
369329,Sonic Lost World,2607
1303814335,Finding Frankie,266421
884569009,The Choicer Voicer,307223
1741663579,Idle Fields,189873
30520,Doraemon,79111
1224190424,Word Play,344825
1965305835,Dressing Room,361320
695642082,CAPTURED,312193
490957,Paint the Town Red,13192
517205,Tanuki Sunset,125199
106587080,Limbo,202299
29000,Harry Potter and the Deathly Hallows: Part 2,4905
5020,Brain Age: Train Your Brain in Minutes a Day!,2712
111467058,Froggin' Around,376406
504766,Black Desert Mobile,54701
1612447852,7 Nights with Vroombi,377402
1453243922,Dead Man's Diary,194871
548863356,Pokémon Sun and Moon Special Demo Version,313321
789936655,Dating Killmulator,324646
1331100283,Contractors VR,111625
505515,My Little Pony: Friendship Gardens,108154
9348,Resident Evil: Director's Cut,23377
229782888,Zombie Graveyard Simulator,333007
277015957,The Dark Tones: Loss,253836
4364,Mega Man X7,1747
497067,Mighty Gunvolt Burst,29143
470559682,Dagon,157176
510044,Trine 4: The Nightmare Prince,110846
1806154176,Tomomon: Legacy of Light,242514
1855935446,First Dwarf,215296
2131865393,Ninja Ken,151590
1547283066,Outcast - A New Beginning,171215
511773,BONEWORKS,115789
349240454,Games for Stream!,266856
837328782,Welcome to Dustown,309796
1525198599,Squirreled Away,314650
16786,Tasty Planet,73305
1101694440,Bounty Star,210624
1155264449,Recycling Shift,366946
488587,Crossy Road,10635
1608807548,Wizard With a Gun,152204
10792,Crimsonland,7587
1035519062,I Am Cat,303244
1220748819,Higurashi When They Cry Hou: Ch.6 Tsumihoroboshi,102266
499963,Monster Energy Supercross: The Official Videogame,74500
586873356,One Last Clip,347599
165309525,Kaizen: A Factory Story,333883
512303,Totally Reliable Delivery Service,114058
29708,Bejeweled 3,1978
616873567,Duil,161348
724780748,Grocery Store Simulator,302546
9748,The Incredible Hulk,4928
488516,The Flame in the Flood,9732
502989,The Men of Yoshiwara: Kikuya,34964
12189,Unreal Tournament 2004,927
1779137184,My Garage,162411
496499,Spooky's Jump Scare Mansion: HD Renovation,29842
1115049822,Steel Civilizations,176373
516987,Dordogne,132188
49,Star Wars,12858
498449,Sword Art Online: Fatal Bullet,36515
9424,Mind Games,81416
1174880646,Blade & Sorcery: Nomad,196375
516859,Quantum Error,132226
977723995,Google Snake,215253
493021,Madden NFL 17,19463
38795611,Risk,281759
507137,Earn to Die 2,26524
726310368,Sheepy: A Short Adventure,152436
1565051033,Mega Man Battle Network 6: Cybeast Gregar,1765
26085,Ship Simulator Extremes,3209
511581,Idle Wizard,101773
689053174,Tales Beyond the Tomb: The Last Vigil,329762
24170,Crysis 2,471
514426,Terminator: Resistance,122611
489730,Pro Evolution Soccer 2016,11185
1734202623,Starship Troopers: Extermination,228175
494557,Knack II,26194
1003392471,Funny Business,299073
11600,TimeSplitters,2142
518624,SCP: Fragmented Minds,137487
1832714210,Sword Art Online Re: Hollow Fragment,11839
83722136,Youtubers Life 3: Stream Together!,344644
2060357386,Phobies,189811
1923325067,Multi Game Party,291822
132605348,Bonnie Bear Saves Frogtime,258654
18919,Mercenaries 2: World in Flames,2684
20454,Hexen: Beyond Heretic,3512
11743,RULE of ROSE,7415
14937,Star Wars: Jedi Knight - Mysteries of the Sith,160
6234175,"Warhammer 40,000: Warpforge",203256
1535149059,Dragon Ball Universe,176638
612301803,Final Fantasy VII: Ever Crisis,144040
1802767745,Pinball,345873
489490035,F1 Manager 2022,193538
13682,Fire Emblem Gaiden,1434
28565,Rayman Origins,981
1408100889,Little Noah: Scion of Paradise,206809
1303508598,"Warhammer 40,000: Inquisitor - Martyr",203272
18772,LEGO Indiana Jones: The Original Adventures,189
1445342183,Backrooms: Together Escape,344299
12629,SimCity 2000,330
2140573717,Hollowbrook: Apartments,372181
510581,Marvel Ultimate Alliance 3: The Black Order,113109
922613020,Tactical Assault VR,242021
1894461190,Afterblast,164434
12870,Mega Man 2,1715
1405373990,Diver,267291
487777883,Playtime with Percy,262278
24399,Mirror's Edge Catalyst,2112
490648,HOW TO SURVIVE 2,13210
1976597877,Bed Wars,265850
26960,Vanquish,3218
681632639,Animal Shelter,327688
34738454,PERISH,145797
1459558487,Silent Hill 3,222486
1964811595,Not Not: A Brain Buster,117957
512371,Madden NFL 20,114286
994603281,Replay Bell Suika Slot Like Game,297200
1602168595,Jogo dos 10,242905
1323120541,MOTHERED,192700
490703246,Iyashikei Action Game,334626
1386697379,Sonic Adventure 2,192192
748,Siege,78612
28081,God of War: Ghost of Sparta,550
1245261313,Medieval Dynasty New Settlement,282159
4457,The Final Conflict,71745
25087,BattleBlock Theater,2605
12643,Soldat,8722
19147,Super Mario Bros. 2,NA
515481,Godfall,127343
1977252505,Platform 8,295570
318687252,Survival on Raft,86804
