category_id,category_name,igdb_id
1295347933,Storebound,331151
1569982587,FRAGMENT,381506
33287,Yume 2kki,80668
13761,Fighting Force,2542
13809,Killzone,1865
2032860706,BrokenLore: LOW,304308
1939529116,The Hunt Begins,323720
766723662,Midnight Special,319815
1229495794,Nine-Ball Roulette,325672
19445,Wacky Races,81548
1706626302,Bad Ice Cream,106009
24067,Homefront,1885
1482651588,Scary Game,356148
3195,Yu-Gi-Oh! Power of Chaos: Joey the Passion,50833
231206857,Forsaken Frontiers,288820
1680381014,Loan Shark,350592
77929096,No Sleep for Kaname Date: From AI - The Somnium Files,337023
687680534,Sheriff Looper,383344
1568920198,Pirates Outlaws 2: Heritage,320892
319298811,Your Mom,195615
3067,Nancy Drew: The Secret of Shadow Ranch,29928
1222630281,Sumo,110716
494652862,Wheelchair Wizards,359113
344714178,Virtua Fighter 5 R.E.V.O.,322751
494355,Balrum,18135
951456342,Planet Crossword,220841
2143686220,Japan Stigmatized Property 2,382003
146436282,Punishing Gray Raven,308187
2035559105,Agatha Christie: Murder on the Orient Express,250890
1909522169,The Star Named EOS,226505
12564,Quake 4,356
494160,Miitopia,26926
496567,Pinturillo 2,56265
834363477,Crash Bandicoot 2: Cortex Strikes Back,135450
509168,Bean Battles,106556
25122,Just Dance,2704
9643,Magical Tetris Challenge,3398
1798851427,TRIBES 3: Rivals,278321
511981,Drunken Wrestlers 2,111223
37334917,Wobbledogs,142672
31903,NBA 2K12,5057
2033890113,Chip's Challenge 1,35839
1207924918,DON'T SCREAM,271422
789620732,Ego League,373768
19497,Fragile Dreams: Farewell Ruins of the Moon,4872
627306846,Elestrals Clash!,356622
245018539,Only Up!,247935
1395148565,Wordatro!,331665
6650,ActRaiser,6468
22316,The Tale of Despereaux,51163
2099118364,Fears to Fathom: Norwood Hitchhike,186437
1564244055,Corner Shop: NightShift,356955
2028829622,Mighty Morphin Power Rangers: Rita’s Rewind,305016
12206,ToeJam & Earl,8389
33618,FPS Trainer,94177
18772,LEGO Indiana Jones: The Original Adventures,189
16223,The Lord of the Rings: The Return of the King,2973
1510852340,Deadcam,373301
286026401,Strange Jigsaws,337338
18852,Castlevania: Order of Ecclesia,1141
1204424235,¿Quién quiere ser millonario?,106037
1102899018,Chrono Trigger,206320
81834214,Beta MAX,270027
137317752,Quarantine Zombies,373349
498205,OldTV,80544
10389,Castlevania: Dawn of Sorrow,1136
1318128262,The Radio Tower,373894
164653622,Emio – The Smiling Man: Famicom Detective Club,308052
495549,Underground Keeper,22727
18934,Braid,2853
370541,Valiant Hearts: The Great War,7327
5820,QuackShot Starring Donald Duck,8446
369537,Kingdom Rush Frontiers,6006
6421,Driver,675
31911,Mario Party 9,2336
1367992457,Yu-Gi-Oh! Duel Monsters 6: Expert 2,313042
3130,Mario Party 5,2331
319442930,Cat Quest III,250622
509019,Bee Simulator,106790
1947304770,Cobalt Core,232416
68319443,PopSlinger vol. 2: Loveless,319397
1976927403,Gay Battlegrounds,105354
1250295267,WILDLAND: Initial Attack,185627
1880449176,Hodgepodge Hunch,249082
1067776455,Billard,40763
963008843,Loddlenaut,152196
460402,FIFA 15,7574
1322768657,Metal Bringer,265327
512060,RAD,116414
1838595458,Prince of Persia HD,327769
105451,Game Dev Tycoon,2599
6455,Turok 2: Seeds of Evil,1326
382805943,NFL Pro Era,198225
1538375894,Crying Pony,245950
133414,UnderRail,16657
495058,Super Bomberman R,26760
1358933623,Train Sim World 6,363370
993718842,Bus Simulator,130938
420131540,LEGO Party!,347661
146842359,There Are No Orcs,349032
504731857,Gabriel Knight: Sins of the Fathers - 20th Anniversary Edition,7859
856403003,Bring You Home,87031
517792,Lake,127743
65822,WWE '13,5295
1612953510,Milk Inside a Bag of Milk Inside a Bag of Milk,139295
2132226296,Final Fantasy V Advance,20597
1722556704,Elevator,381897
894338508,Counter-Strike: Condition Zero Deleted Scenes,93807
110754,Alien Swarm: Reactive Drop,27523
492118,Job Simulator: The 2050 Archives,12596
802653532,Cryptic Crosswords,100885
13803,X-Men: Mutant Academy,4109
65679,Family Guy: Back to the Multiverse,1834
32622,Dino Storm,92597
175665548,TRAIL OUT,188913
