category_id,game_mode_id
23453,1
21779,2
21779,3
18122,2
18122,5
24241,1
24241,2
24241,3
24241,5
1494,1
1494,2
32982,1
32982,2
32982,3
11557,1
27546,2
27546,5
7934,1
138585,1
138585,2
33214,1
33214,2
33214,3
33214,4
33214,6
65632,2
65632,3
65632,5
65632,6
91423,1
91423,2
91423,3
66170,1
66170,2
66170,3
31336,2
31336,5
31339,1
31339,2
31339,3
31339,4
12565,1
263490,2
263490,3
263490,5
386821,2
386821,3
386821,5
500188,1
500188,2
500188,3
460630,1
460630,2
460630,3
6263,1
6263,2
6263,4
492035,1
458353,1
19619,3
19619,5
30921,1
30921,2
30921,3
30921,4
491931,1
491931,2
491931,3
491931,5
491168,2
490744,1
490744,2
490744,3
23020,1
23020,2
23020,3
491487,1
491487,2
491487,3
417528,2
417528,5
493959,1
493959,2
493959,3
497057,1
497057,2
497057,3
497057,5
493057,1
493057,2
493057,3
493057,6
499003,1
499003,2
499003,3
499003,5
499634,1
499634,3
459931,2
459931,5
506416,1
506416,2
506416,3
509538,1
509538,2
509538,3
509538,4
511224,2
511224,3
511224,6
1064893715,1
1064893715,2
509511,1
509511,2
509511,5
509511,6
512953,1
512953,2
512953,3
512923,1
512923,2
512923,3
512923,4
513181,1
513181,2
513181,3
513143,1
513143,2
515025,2
515025,3
1702520304,1
1702520304,2
1702520304,3
1702520304,5
516575,2
512710,2
512710,6
27471,1
27471,2
27471,3
27471,4
27471,5
1119642287,1
1119642287,2
464339927,2
464339927,3
55453844,1
55453844,2
209738946,1
209738946,3
380978759,2
380978759,3
778386489,1
1630982727,1
1630982727,2
1630982727,3
744803366,1
735904419,1
735904419,2
735904419,3
735904419,5
2126767263,1
2126767263,3
1264310518,2
1264310518,3
401587136,2
401587136,3
401587136,5
2132205352,1
2132205352,2
36799602,1
1757868477,1
168648543,1
168648543,2
982348888,1
982348888,3
98473926,1
532988445,1
532988445,2
532988445,3
532988445,4
844228464,1
844228464,2
272952894,1
272952894,2
272952894,3
272952894,4
569438345,1
1258820756,1
2012789438,1
2012789438,2
2012789438,3
1135650100,1
624536948,1
624536948,2
624536948,3
2112738408,1
2112738408,2
2112738408,3
1325278295,2
1325278295,3
1325278295,5
18763,1
11989,1
11989,2
12839,1
12839,2
6521,1
6521,3
12482,1
16967,1
2692,1
19357,2
19357,3
19357,5
71375,1
71375,2
71375,5
65876,1
31750,1
31750,2
31750,3
29307,1
29307,2
29307,3
29307,5
66366,1
66366,2
66366,3
66366,5
13263,2
13263,3
13263,5
369252,1
18846,1
18846,2
18846,3
271304,1
271304,2
271304,3
271304,4
32502,2
32502,3
32502,5
19554,1
19554,2
19554,5
67647,1
489776,1
394568,1
19976,1
19976,2
19976,3
19976,5
490377,1
490377,2
490377,3
460951,1
492810,1
29056,1
29056,2
29056,3
29056,5
491381,1
491381,2
490100,1
490100,2
490100,3
490100,5
497509,2
497509,5
461221,1
461221,2
495811,1
495811,2
495811,3
495811,5
496902,1
494184,2
1122982998,1
1122982998,2
1122982998,3
506246,2
506246,3
506246,5
508455,1
508455,2
508455,3
511391,1
512980,2
512980,3
512980,6
514858,2
515024,1
515024,2
515024,3
774680424,1
774680424,2
774680424,3
518144,1
518144,2
518144,3
515479,1
515479,2
515479,3
1820378900,1
516588,5
687129551,1
687129551,2
687129551,4
1222194375,1
1222194375,2
1222194375,3
1095275650,1
982017546,1
982017546,2
982017546,3
982017546,5
1398657661,2
516173984,1
516173984,2
516173984,3
516173984,4
329951934,2
456845141,1
1441208453,1
1441208453,2
1441208453,3
1441208453,5
2009321156,1
2009321156,2
2009321156,3
2085980140,1
2085980140,2
2085980140,3
1910103699,2
1910103699,3
538054672,1
538054672,2
538054672,4
1557187997,1
1557187997,2
848400095,1
2105032420,1
1846293708,1
1414860634,1
1414860634,3
376500771,1
766571430,1
766571430,2
766571430,3
1393304883,2
1393304883,3
1393304883,5
1282866981,1
1282866981,2
1282866981,3
1282866981,5
1286077738,1
1286077738,2
1286077738,3
2094865572,2
2094865572,3
997367275,1
344035090,1
545090511,1
262437666,1
262437666,2
262437666,3
362339131,1
602959317,1
551919008,1
551919008,2
551919008,3
1294658629,1
1294658629,2
1294658629,3
762292943,2
762292943,3
1081998272,1
1081998272,2
1081998272,3
1836548426,1
1143024882,1
1143024882,2
1143024882,3
167365321,1
394740720,1
1848745913,1
1848745913,2
1848745913,6
1517377137,1
1517377137,2
1517377137,3
1538760733,1
805991834,1
21934,2
21934,3
21934,5
24193,1
24193,2
24193,3
15229,5
11988,1
30028,1
8645,1
1468,1
1229,1
1229,2
65654,1
65654,2
65654,3
65654,5
7595,1
31376,1
31376,2
31376,3
115977,1
21465,1
21465,2
21465,3
458781,1
458781,2
458781,3
9618,1
9618,2
32959,2
32959,3
110758,1
461389,1
20050,5
489401,1
489401,2
489401,3
489401,4
460316,1
460316,2
460316,3
489635,1
489635,2
489635,3
489635,4
489635,5
489635,6
489767,1
489767,2
490292,1
490292,2
490292,3
497480,1
490147,1
488634,1
488634,2
488634,3
20596,2
20596,3
20596,5
293693714,1
493048,1
490948,2
490948,3
490948,5
24438,5
496885,1
496885,2
496885,3
518017,1
497497,2
497497,3
504463,1
504463,2
504463,3
504463,5
504461,1
504461,2
504461,3
506456,1
506456,2
506456,3
502829,5
505884,6
508509,2
508509,3
509549,1
509549,2
511212,1
510218,1
510218,2
510218,3
510056,1
511295,1
511295,2
511295,3
511399,1
511399,2
1679324192,1
512693,1
512693,2
469758789,1
469758789,2
518213,2
518213,3
518213,4
518379,2
518379,3
519291,1
1262047844,1
1788326126,1
1788326126,2
1788326126,3
1158884259,1
1158884259,2
1158884259,3
494436328,1
494436328,2
14333696,2
14333696,3
14333696,5
653624336,1
2013539540,1
1036710512,1
1036710512,2
1036710512,3
1036710512,5
331373906,1
331373906,2
155409827,1
155409827,2
673760473,2
673760473,3
673760473,6
223869970,1
223869970,2
223869970,3
743214338,1
743214338,2
743214338,3
478407715,1
478407715,2
478407715,3
623291583,2
623291583,3
1987896617,1
1987896617,2
1987896617,3
1987896617,5
1247644901,1
1247644901,2
1247644901,3
1247644901,4
1247644901,6
880825863,1
330654616,1
330654616,2
330654616,3
330654616,4
737987407,1
737987407,2
737987407,3
2060730947,1
2060730947,2
