category_id,igdb_id,game_mode_id
21779,115,2
21779,115,3
18122,123,2
18122,123,5
12839,364,1
12839,364,2
24241,386,1
24241,386,2
24241,386,3
24241,386,5
1494,621,1
1494,621,2
18808,847,1
18808,847,2
18808,847,3
18808,847,4
32982,1020,1
32982,1020,2
32982,1020,3
27546,1184,2
27546,1184,5
138585,1279,1
138585,1279,2
71375,1595,1
71375,1595,2
71375,1595,5
33214,1905,1
33214,1905,2
33214,1905,3
33214,1905,4
33214,1905,6
65632,2117,2
65632,2117,3
65632,2117,5
65632,2117,6
91423,2368,1
91423,2368,2
91423,2368,3
66170,2903,1
66170,2903,2
66170,2903,3
31339,3189,1
31339,3189,2
31339,3189,3
31339,3189,4
263490,3277,2
263490,3277,3
263490,3277,5
18846,3278,1
18846,3278,2
18846,3278,3
386821,6292,2
386821,6292,3
386821,6292,5
500188,7291,1
500188,7291,2
500188,7291,3
460630,7360,1
460630,7360,2
460630,7360,3
19619,9596,3
19619,9596,5
68351,9608,1
68351,9608,2
30921,11198,1
30921,11198,2
30921,11198,3
30921,11198,4
491931,15536,1
491931,15536,2
491931,15536,3
491931,15536,5
491168,15707,2
23020,17269,1
23020,17269,2
23020,17269,3
491487,18866,1
491487,18866,2
491487,18866,3
417528,19698,2
417528,19698,5
493959,25076,1
493959,25076,2
493959,25076,3
497057,25657,1
497057,25657,2
497057,25657,3
497057,25657,5
497585,27384,1
497509,27420,2
497509,27420,5
493057,27789,1
493057,27789,2
493057,27789,3
493057,27789,6
499003,33615,1
499003,33615,2
499003,33615,3
499003,33615,5
499634,76760,1
499634,76760,3
494184,79392,2
459931,79824,2
459931,79824,5
11103,81358,1
11103,81358,2
895418825,88894,1
511224,114795,2
511224,114795,3
511224,114795,6
511391,115289,1
515621,116781,1
509511,116975,1
509511,116975,2
509511,116975,5
509511,116975,6
512953,119133,1
512953,119133,2
512953,119133,3
512923,119171,1
512923,119171,2
512923,119171,3
512923,119171,4
513181,119277,1
513181,119277,2
513181,119277,3
513143,120176,1
513143,120176,2
515024,125165,1
515024,125165,2
515024,125165,3
515025,125174,2
515025,125174,3
1702520304,125642,1
1702520304,125642,2
1702520304,125642,3
1702520304,125642,5
516575,126459,2
515537,126512,1
515537,126512,2
515586,127697,1
512710,131800,2
512710,131800,6
518018,134612,1
27471,135400,1
27471,135400,2
27471,135400,3
27471,135400,4
27471,135400,5
464339927,185258,2
464339927,185258,3
55453844,191692,1
55453844,191692,2
456845141,200551,1
623291583,204034,2
1630982727,214414,1
1630982727,214414,2
1630982727,214414,3
735904419,250509,1
735904419,250509,2
735904419,250509,3
735904419,250509,5
1282866981,262186,1
1282866981,262186,2
1282866981,262186,3
1282866981,262186,5
1264310518,294041,2
1264310518,294041,3
401587136,298915,2
401587136,298915,3
401587136,298915,5
2132205352,301298,1
2132205352,301298,2
36799602,305152,1
512701575,310923,1
512701575,310923,2
512701575,310923,3
168648543,317407,1
168648543,317407,2
982348888,325591,1
982348888,325591,3
602959317,325609,1
551919008,329146,1
551919008,329146,2
551919008,329146,3
104597796,334542,1
272952894,342382,1
272952894,342382,2
272952894,342382,3
272952894,342382,4
2012789438,348220,1
2012789438,348220,2
2012789438,348220,3
624536948,353848,1
624536948,353848,2
624536948,353848,3
2112738408,353901,1
2112738408,353901,2
2112738408,353901,3
1259685744,370562,2
1259685744,370562,3
757932712,374688,1
757932712,374688,2
757932712,374688,3
805991834,379608,1
10322,418,1
11988,427,1
6521,732,1
6521,732,3
32345,1011,1
32345,1011,2
32345,1011,3
32345,1011,4
9435,1026,1
11557,1029,1
12482,1030,1
1229,1070,1
1229,1070,2
2692,1074,1
7595,1103,1
19357,1183,2
19357,1183,3
19357,1183,5
10081,1219,1
65876,1877,1
66366,2165,1
66366,2165,2
66366,2165,3
66366,2165,5
13263,2584,2
13263,2584,3
13263,2584,5
31336,3119,2
31336,3119,5
9618,4567,1
9618,4567,2
29000,4905,1
271304,5574,1
271304,5574,2
271304,5574,3
271304,5574,4
32502,5587,2
32502,5587,3
32502,5587,5
19554,8204,1
19554,8204,2
19554,8204,5
489776,9630,1
19976,9804,1
19976,9804,2
19976,9804,3
19976,9804,5
490377,11137,1
490377,11137,2
490377,11137,3
460951,11642,1
490147,14593,1
490744,17000,1
490744,17000,2
490744,17000,3
510389,18090,1
510389,18090,2
510389,18090,5
293693714,19686,1
490948,25838,2
490948,25838,3
490948,25838,5
490100,26128,1
490100,26128,2
490100,26128,3
490100,26128,5
495811,31712,1
495811,31712,2
495811,31712,3
495811,31712,5
496902,40477,1
497497,55945,2
497497,55945,3
498417,69547,1
498417,69547,2
510202,76263,1
504461,90101,1
504461,90101,2
504461,90101,3
29106,101440,1
506246,103020,2
506246,103020,3
506246,103020,5
506416,103281,1
506416,103281,2
506416,103281,3
509538,109462,1
509538,109462,2
509538,109462,3
509538,109462,4
511295,115078,1
511295,115078,2
511295,115078,3
512980,119313,2
512980,119313,3
512980,119313,6
956713971,123528,1
514858,124700,2
774680424,126460,1
774680424,126460,2
774680424,126460,3
1967084783,127044,1
518144,127165,1
518144,127165,2
518144,127165,3
1820378900,132181,1
516588,133581,5
687129551,133807,1
687129551,133807,2
687129551,133807,4
518379,135381,2
518379,135381,3
512864,135842,2
512864,135842,6
1095275650,136625,1
982017546,151467,1
982017546,151467,2
982017546,151467,3
982017546,151467,5
1036710512,151665,1
1036710512,151665,2
1036710512,151665,3
1036710512,151665,5
41917829,152202,1
41917829,152202,2
41917829,152202,3
749092120,152257,1
749092120,152257,2
749092120,152257,3
1119642287,159298,1
