user_id,user_name,login_name,broadcaster_type
84072112,icatas,icatas,partner
876919180,chocoswagi,chocoswagi,affiliate
224601863,apenasletras_ofc,apenasletras_ofc,normal
886145207,zintrux_,zintrux_,normal
72157264,Synergyxox,synergyxox,affiliate
235773149,rosepearlx,rosepearlx,affiliate
772144146,WillyRust_,willyrust_,affiliate
911716889,kuropocor,kuropocor,affiliate
1420699827,seven_goradao,seven_goradao,normal
192925593,Karumelito,karumelito,affiliate
1416297236,dadseewewez,dadseewewez,normal
617084732,Hyper5Flip,hyper5flip,affiliate
271542251,GeneralSniper,generalsniper,partner
507944163,viinic30,viinic30,normal
52745831,matiheltner,matiheltner,affiliate
418383266,Kittzhy,kittzhy,affiliate
271011933,TorHecTV,torhectv,affiliate
883988611,KilluyoADC,killuyoadc,normal
737811982,SpadaScut,spadascut,normal
1148220965,xKr4k,xkr4k,normal
1306188836,HifusoOG1,hifusoog1,normal
871934580,rowdiss,rowdiss,normal
1391132854,asislay,asislay,affiliate
92777330,linebooft,linebooft,affiliate
1322343700,feen014,feen014,normal
98708427,Narruso,narruso,normal
121049858,z0rillo,z0rillo,affiliate
218801025,saerqrasdaeqe,saerqrasdaeqe,normal
456846023,Iceeblue232,iceeblue232,affiliate
484728719,YunaGiselle,yunagiselle,affiliate
108740862,rwestc,rwestc,normal
933695536,EbJuGG,ebjugg,affiliate
108715895,StormIsWorst,stormisworst,affiliate
980283083,battlelucas277,battlelucas277,normal
615377537,mayerisis,mayerisis,affiliate
180379744,Kem5678,kem5678,normal
515350299,PoisonGnL,poisongnl,affiliate
505771870,hm3tcs,hm3tcs,affiliate
275028980,mundofails,mundofails,affiliate
190027022,urufooo,urufooo,affiliate
82943196,shynosttv,shynosttv,normal
462143013,vitaosgx,vitaosgx,affiliate
611273299,JordanOskar,jordanoskar,affiliate
727161835,LoveUrSelfPlz,loveurselfplz,normal
38750912,Vandett0,vandett0,partner
722841465,ElTioSeda,eltioseda,normal
934833746,imnotnicettv,imnotnicettv,affiliate
739972882,33hours_,33hours_,normal
448384316,f4x5,f4x5,normal
134579474,xeraimer,xeraimer,affiliate
444391255,LeezusLV,leezuslv,affiliate
267594808,ckroyzenlool,ckroyzenlool,normal
418516094,僻地,heki_field,affiliate
508168318,mtfps_1,mtfps_1,normal
138288541,CoStYnHa,costynha,affiliate
775579243,ElTitoItachi,eltitoitachi,normal
90752452,cristoishere,cristoishere,partner
459135875,rodriisz1,rodriisz1,affiliate
476211820,tylersdream,tylersdream,normal
111555475,XpertT_YT,xpertt_yt,affiliate
436865317,SattoLoL,sattolol,affiliate
85277140,Yvis,yvis,partner
149767095,Thisguyx27,thisguyx27,normal
478643948,SilentExcellence,silentexcellence,affiliate
1167188494,thremorl2,thremorl2,affiliate
51218228,PNKFacil,pnkfacil,partner
973834260,pippe089,pippe089,normal
651548983,Saraeas,saraeas,affiliate
94764492,OldManNAYNAY,oldmannaynay,normal
540936983,AndyChiquito,andychiquito,affiliate
416336752,Keytsu_e_Willump,keytsu_e_willump,normal
89859202,Mounizle,mounizle,affiliate
1310793887,sweetandhopeless,sweetandhopeless,normal
814880613,patagot,patagot,affiliate
1166433379,ju7inha,ju7inha,affiliate
469801455,brianplayslive,brianplayslive,affiliate
245614833,francolunatii,francolunatii,affiliate
1210632393,LandoGodX,landogodx,affiliate
591816769,WubbleIsCute,wubbleiscute,normal
1155038558,Queenfeitt,queenfeitt,affiliate
42425679,FrankieS60R,frankies60r,affiliate
255862661,Little_M___,little_m___,partner
136252997,zKuRo_OwO,zkuro_owo,affiliate
211446003,yakuzafps1,yakuzafps1,normal
750189087,FortressDoor,fortressdoor,normal
63509390,xBare,xbare,normal
677059684,martinmonse,martinmonse,partner
523796590,Otamegame10,otamegame10,affiliate
172343034,itslilphil,itslilphil,affiliate
945970872,HimalaiaMaia,himalaiamaia,normal
162934632,LilReshi,lilreshi,normal
1309663074,HasteLuck,hasteluck,affiliate
