user_id,user_name,login_name,broadcaster_type
142245923,WhoIsRobles,whoisrobles,affiliate
163299585,BLASTPremier,blastpremier,partner
430489690,LxVer8,lxver8,affiliate
184434824,rinnanahoshi,rinnanahoshi,affiliate
237895855,Y0Noah,y0noah,affiliate
1387921608,TheDarkSideofFlora,thedarksideofflora,
810254538,Elucidation1142,elucidation1142,
130236689,Bluwunk,bluwunk,partner
101941531,Rayzenberg_,rayzenberg_,affiliate
153043267,Dragolaminius,dragolaminius,affiliate
412155924,iAbdullaAE,iabdullaae,affiliate
1039843432,板橋土狗,edwardwu00120,
449462414,unicche,unicche,affiliate
865026373,Hight_Kill,hight_kill,affiliate
597721128,KaanRAW24,kaanraw24,
68698408,SMOKRIDER,smokrider,
1088913731,xkajuwu,xkajuwu,affiliate
503185416,dominik_audio,dominik_audio,affiliate
530563131,BacanScout,bacanscout,affiliate
454705241,bestyapro,bestyapro,
141787250,quinel84,quinel84,
262406324,cosmicfear777,cosmicfear777,affiliate
503726364,shaneaha,shaneaha,
487227684,mmakunouchi666,mmakunouchi666,
720732465,阿夜丶,honey_meow_0316,affiliate
202653760,LoopyTanuki,loopytanuki,
1344372837,iznuba,iznuba,
522584387,leshliepink,leshliepink,affiliate
254787651,7sMango,7smango,affiliate
43860044,OfficialMathu,officialmathu,
975028333,flahahaha2115,flahahaha2115,affiliate
524779673,shaggyperson,shaggyperson,
987349236,SergeantNoFun,sergeantnofun,affiliate
545423626,Traperoh,traperoh,
100040997,MicahProTV,micahprotv,
49856841,streambyslo,streambyslo,
1133379590,katsumatsu88,katsumatsu88,affiliate
48054304,OoziOoze,ooziooze,affiliate
587808896,LeekBeats,leekbeats,affiliate
418316427,AYRTTV,ayrttv,affiliate
801013933,mvtiiiiii,mvtiiiiii,
479871159,quante,quante,partner
153649362,Alimeria,alimeria,affiliate
1384267987,angelicmiku_,angelicmiku_,
37765191,XAXUtv,xaxutv,
168902732,Kampsycho,kampsycho,affiliate
45252658,RoosterRoss,roosterross,
116424845,MilkoTilevRusev,milkotilevrusev,
613826709,imroofus,imroofus,
655818965,LenhasdeBonsai,lenhasdebonsai,
532987995,sleepydoggo04,sleepydoggo04,
785989815,qmxsqqe00,qmxsqqe00,
801177808,cafthejoke,cafthejoke,
189972767,Maviic,maviic,affiliate
546095127,EingelVT,eingelvt,affiliate
756154416,SHAHAHAHACO,shahahahaco,affiliate
1372733526,sofaviking2000,sofaviking2000,
1072758920,三日月天魔,mikazukitenma,affiliate
480592159,itzZenyth,itzzenyth,affiliate
1152287009,StreamMelody,streammelody,affiliate
113836045,itsyuliy_,itsyuliy_,
617218085,Selixa1209,selixa1209,affiliate
1238499419,aquwilllll,aquwilllll,
128516203,cspraxy,cspraxy,
487784570,cronuss_of,cronuss_of,affiliate
906821883,DevmoX_,devmox_,affiliate
1210401095,klexaq123,klexaq123,
47349914,TheFroppening,thefroppening,affiliate
619511970,razorblades2008,razorblades2008,affiliate
1350270999,nordicloops,nordicloops,
1130840089,TheMysticMonkey09,themysticmonkey09,
242548777,tornzies,tornzies,
554467382,soundmusicgmbeat,soundmusicgmbeat,
577405110,NODIVADJS,nodivadjs,
62537947,HugeJimbo,hugejimbo,
676823044,WaxradioTV,waxradiotv,affiliate
1042448609,yisuppriot,yisuppriot,
598737146,4RiVengeance,4rivengeance,affiliate
1321402618,MNTZippiy,mntzippiy,
1387069746,Ferygodd,ferygodd,
1022951471,Homirua12,homirua12,
173162545,waveigl,waveigl,partner
1402290246,reeqo_CS2,reeqo_cs2,affiliate
1407107148,tizbug,tizbug,
37978230,Saiya_GS,saiya_gs,
875593855,saMi1337__,sami1337__,
812204196,gehnet,gehnet,
188809505,TapNoCap,tapnocap,affiliate
227491842,juniorfontinni,juniorfontinni,affiliate
514015314,AngelicEUW,angeliceuw,affiliate
1356398723,Kasumi_n_Sakura,kasumi_n_sakura,affiliate
43991207,gafanhoto_tv,gafanhoto_tv,affiliate
213991637,RicardoVaralonga,ricardovaralonga,affiliate
73662747,yuKAN4x,yukan4x,
278298913,edicarlo10,edicarlo10,
841007132,trippking123,trippking123,
37929085,SirCwany,sircwany,affiliate
449724627,PastaQ88,pastaq88,
192610529,Paris,paris,affiliate
259588355,LazefuI,lazefui,affiliate
503202270,TheSistersofMondays,thesistersofmondays,affiliate
276185668,InukamiGrimzzy,inukamigrimzzy,affiliate
126632539,KatEvolved,katevolved,partner
988217786,radioOSTgames,radioostgames,affiliate
1299481072,mL_247,ml_247,affiliate
498303558,shadowbonnye2,shadowbonnye2,
719635047,affluentheart,affluentheart,affiliate
1322533480,lax_calm,lax_calm,
518832779,Katachi_____,katachi_____,affiliate
124994203,Rakattack,rakattack,partner
685719915,Sallvatrix,sallvatrix,affiliate
433291653,luchitocabj_,luchitocabj_,affiliate
265617950,Alacajam,alacajam,affiliate
155320864,PipiLives,pipilives,affiliate
55165616,ContractGTV,contractgtv,affiliate
30835176,Taf71399,taf71399,affiliate
1413022251,fadedpigeon67676767676767,fadedpigeon67676767676767,
1271743043,thatmigrant,thatmigrant,affiliate
567771780,Suivvi,suivvi,affiliate
89670292,Larxfps,larxfps,affiliate
1381401251,yokoshimatf,yokoshimatf,
81363633,Rhythm_Guy,rhythm_guy,affiliate
743817600,DrYayme,dryayme,affiliate
499712578,bass_jamz,bass_jamz,affiliate
125223283,KEROVSKI,kerovski,affiliate
1174847919,axelek21,axelek21,
1361773047,sydfan22,sydfan22,
495141368,v0vans,v0vans,affiliate
722829835,TatoonB,tatoonb,affiliate
720274008,cannedbeans9576,cannedbeans9576,
60293758,Raveydemon,raveydemon,affiliate
95994395,HuXaN_tv,huxan_tv,
462520663,id_and_t_radio,id_and_t_radio,
953844067,hemeer_,hemeer_,affiliate
24592850,chindorah,chindorah,affiliate
150504030,Pandaah_tv,pandaah_tv,affiliate
655753549,nieryfps,nieryfps,
259670362,YayiVT,yayivt,affiliate
425541993,djSCARPIOn,djscarpion,affiliate
