category_id,num_of_streamers
33214,7599
464339927,5070
509658,5065
27471,4196
32982,3610
516575,3435
32399,2870
21779,2475
23020,2391
18122,2335
1494,2084
512710,2040
29595,1701
491487,1635
624536948,1522
1264310518,1293
511224,1284
2112738408,1281
460630,1162
30921,1107
515025,969
491931,924
66082,836
2012789438,836
168648543,751
509660,733
493057,714
512953,620
272952894,602
26936,545
36799602,525
513143,481
1702520304,466
509672,445
263490,436
66170,427
518184,424
493959,423
551919008,405
500188,397
497057,383
513181,379
27546,366
19619,361
24241,352
401587136,351
1630982727,349
93798731,332
1669431183,320
272263131,311
66366,310
518144,303
1095275650,302
27284,302
65632,299
512923,296
1294658629,292
75467,291
499973,277
1599346425,272
997367275,257
65876,255
271304,251
1286077738,250
456845141,247
982348888,246
417752,241
515024,240
380978759,237
490377,234
459931,231
1081998272,225
41272850,222
511391,219
1517377137,214
262437666,211
460951,209
1910103699,200
1282866981,196
209738946,196
386821,191
505884,179
490744,178
1848745913,177
2132205352,176
31339,174
490147,173
1469308723,172
518203,169
489776,169
735904419,166
506246,163
515479,159
1757732267,159
494184,158
766571430,157
1036710512,155
21465,154
602959317,152
115977,151
1393304883,148
506456,146
41917829,146
1820378900,142
19554,140
344035090,134
508455,133
737987407,130
509659,130
1222194375,130
31376,130
30028,129
491168,128
331373906,127
497480,126
55453844,125
538054672,124
490292,124
417528,123
509673,123
488190,122
71375,120
369252,120
509538,119
102007682,118
518014,118
138585,116
513501,116
498566,116
478407715,114
296636215,113
504463,111
362339131,111
1584836809,110
497497,110
653624336,110
982017546,110
213930085,107
498592,107
1122982998,106
19357,105
871967156,104
98473926,103
499634,103
2060730947,100
458781,99
669337588,96
510218,96
518017,95
499856,94
1414860634,94
743,93
497509,92
512818,92
805991834,90
1337444628,89
495811,89
6369,88
1535225577,88
489635,88
65654,87
1441208453,87
960705568,87
31336,86
2068583461,86
1468,86
394568,84
778386489,84
494683,84
509663,83
499003,83
516866,83
460090,83
6521,83
2748,82
293693714,82
516173984,81
2094865572,80
7022,78
1672324422,77
489401,77
512980,75
1348809580,74
514858,74
1515862749,74
848400095,74
23453,73
509670,73
1119642287,72
497304,72
32502,72
1313351584,72
509511,71
2011938005,70
329951934,69
451007760,69
518213,68
1749963163,66
904864974,66
517330,65
417969,64
488910,64
1967084783,64
1050003477,63
490644,63
460316,62
490382,62
20596,62
12839,61
490422,61
489170,61
197489698,61
515066,60
460636,60
13389,60
2085980140,60
506415,59
22848,59
369418,59
511701,58
499765,58
223869970,58
519291,57
1354355809,57
250649084,57
494925,57
8259,57
771448419,57
29056,57
1362102608,57
762292943,56
376500771,56
506274,56
18846,56
494099,56
13332,55
492934,55
506416,54
68351,54
29106,53
515474,53
511295,53
418016,52
1826300051,52
512782,52
1846512643,51
1628434805,51
11557,51
29307,50
12924,48
130942,48
24193,47
460637,47
1568081763,47
506078,47
1397210469,47
313197,47
1913410799,47
502829,47
509577,47
502732,47
504461,46
510590,46
1788326126,46
1074044196,46
278888515,45
24438,45
497467,45
19976,45
515586,45
2104758320,45
1366210635,44
509110,44
1311010677,44
491117,44
490100,43
431065997,43
490948,43
509667,43
32959,43
766548668,43
20050,43
511864,43
2009321156,42
1028198402,42
1959131435,42
1987896617,42
1262047844,41
498417,40
9891,40
496902,40
2013539540,40
512998,40
4789,40
488634,39
491381,39
18707,39
10609,38
1102949822,38
1960341762,38
666511413,38
515349,38
512709,38
9618,38
16676,38
801541637,38
532988445,37
512034,37
369579,37
458912,37
518873,37
29452,37
1654,36
33180,36
655697363,36
1136666301,36
1023750977,36
505084,35
212742304,35
516086,35
460620,35
3951,35
772157971,35
23857,35
497456,35
2083,35
1133341572,35
498289,35
15229,35
2126767263,35
512971,34
497454,34
498482,34
2090279789,34
942317893,34
518379,34
518015,34
519492,34
43579844,34
19801,34
2692,33
13263,33
114524791,33
459676,33
116747788,33
8645,33
2014795392,33
2126813945,32
504462,32
492535,32
80607,32
457975278,32
670867987,32
32736074,32
516588,32
20941,32
1064893715,32
252812003,32
1275666892,31
1984929743,31
488479,31
512821,31
497440,31
273333352,31
515214,31
745589378,31
1331855755,31
1112609075,31
18808,31
110758,31
1630297266,31
7193,31
489335,30
30740,30
513589,30
1407096487,30
21934,30
1173887206,29
31750,29
492035,29
518007,29
666506999,29
1320984402,29
1361476377,29
1106985046,29
889298168,29
506410,28
503446,28
494552,28
34222,28
687129551,28
504735,28
266795834,28
1780647523,27
497078,27
512534,27
394801804,27
73586,26
2143096682,26
1515015750,26
10322,26
143106037,26
459064,26
118198,26
489721,26
491878,26
494839,26
936822813,26
516984,26
518692,26
33437,25
506462,25
1241582824,25
1244970157,25
490386,25
19731,25
492546,25
400407464,25
489297,25
512226,25
9435,25
1637021799,25
623821345,25
376617167,25
1995842324,24
1115711128,24
482579574,24
493551,24
1135492840,24
369380,24
2115231542,24
490713,24
506407,24
509664,24
1834407033,24
232131679,24
665425234,23
505371,23
715052357,23
1819887434,23
1678052513,23
623291583,23
509671,23
369585,23
1229,23
1041,23
1937599489,23
11988,23
1421097847,23
2066107586,23
1630435000,22
16051,22
1393020629,22
1668881185,22
364677525,22
505705,22
459327,22
702495428,22
494436328,22
496697,22
18763,22
1924563761,22
497388,22
497410,22
1158884259,22
468533702,22
1447325110,22
1428314242,22
774680424,21
10710,21
491220,21
23894,21
496431,21
493997,21
435870350,21
1397606945,21
1230742965,21
965771331,20
496712,20
1406899016,20
1910324696,20
491870,20
1222247252,20
493815,20
492553,20
140035,20
835934329,20
627798963,20
1398657661,20
458443,20
29918,20
458641,20
511195,19
441530517,19
506438,19
20061,19
493125,19
217432230,19
510578,19
712125648,19
1798838504,19
2058566581,19
1730526563,19
26881,19
11989,19
1089655891,19
516801,19
496960,19
505257,18
313558,18
343455332,18
1253800827,18
613430080,18
19745,18
2124871354,18
512708,18
493174,18
490374,18
491180,18
726936393,18
67647,18
512341,18
17828,18
25751086,18
1448308190,18
508662,18
2133072147,18
567262878,18
620146360,18
509862,18
1594393054,17
1109059789,17
868689686,17
508948,17
391475,17
506468,17
505963,17
509549,17
275186889,17
2059463486,17
1258270417,17
1580396182,17
1075600787,17
1960201900,17
1760371307,17
491318,17
511399,17
519528,17
8271,17
494806,17
506760,17
966704637,16
514888,16
506442,16
499551,16
375403621,16
1757868477,16
508798,16
413569,16
678842894,16
1945861843,16
1414211237,16
498668,16
350892884,16
743214338,16
1833694612,16
32345,16
510202,16
252001732,16
1330093788,16
24872,16
518006,16
1470211036,16
14842174,16
16282,16
780037970,16
490413,16
1471416868,16
1414406743,16
