category_id,category_name,igdb_id,_merge
267,NASCAR 2005: Chase for the Cup,4027,left_only
505,Asheron's Call,603,left_only
569,Rayman 2: The Great Escape,843,left_only
733,Card Games,44957,left_only
759,Harvester,2900,left_only
894,Martian Gothic: Unification,24120,left_only
1421,Dune 2000,87,left_only
1455,Sid Meier's Civilization III,310,left_only
1497,Mega Man X6,1746,left_only
1546,Spider-Man 2,6285,left_only
1769,SSX,4175,left_only
2228,Bomberman,3445,left_only
2668,Police Quest II: The Vengeance,1925,left_only
3337,The Legend of Zelda: Link's Awakening,1028,left_only
3564,Digimon World,8614,left_only
3587,colin mcrae: DiRT,943,left_only
4120,Vampire: The Masquerade - Redemption,12,left_only
4540,Ratchet & Clank: Up Your Arsenal,1773,left_only
4554,Sonic Pinball Party,6601,left_only
5097,Fallout 2,14,left_only
5218,SAMURAI SHODOWN,109277,left_only
5447,Sanitarium,8072,left_only
5975,Shadow of the Colossus,2207,left_only
6761,Mega Man 7,1720,left_only
6922,Robotron X,9186,left_only
6956,Ultimate Spider-Man,4225,left_only
7228,Tom Clancy's Rainbow Six,1842,left_only
7461,The King of Fighters '96,12588,left_only
8083,Adventure Series,80367,left_only
8084,Dante's Inferno,6958,left_only
8162,Buck Bumble,3368,left_only
9041,SoulCalibur III,1566,left_only
9113,The Hobbit: A Software Adventure,10800,left_only
9191,Batman Forever,7769,left_only
9672,SpongeBob SquarePants: Revenge of the Flying Dutchman,2762,left_only
9704,X-Men: Children of the Atom,39295,left_only
10078,Avalon Hill's Squad Leader,73674,left_only
10119,Hitman: Blood Money,1048,left_only
10458,WWF No Mercy,3644,left_only
10899,The Suffering: Ties That Bind,6181,left_only
11183,NASCAR Thunder 2003,4028,left_only
11386,Metal Gear Solid 2: Sons of Liberty,376,left_only
12415,Star Wars: Episode I - Racer,154,left_only
12582,Screamer,7140,left_only
12919,Creatures 2,11371,left_only
13327,Star Wars: Jedi Knight II - Jedi Outcast,152,left_only
13474,Tekken 4,1245,left_only
13565,Crash Twinsanity,1189,left_only
14323,Ripper,6829,left_only
14486,Sonic Riders,4158,left_only
14864,The Warriors,6030,left_only
15470,Bomberman World,27255,left_only
15734,SSX 3,4174,left_only
15839,Wiffle Ball,73474,left_only
16097,Apollo Justice: Ace Attorney,1429,left_only
16394,Nancy Drew: Curse of Blackmoor Manor,12450,left_only
16617,Streets of Rage 2,1653,left_only
16732,Phantasy Star III: Generations of Doom,1231,left_only
16854,Blinx: The Time Sweeper,5751,left_only
17464,Sonic Adventure 2,7858,left_only
17479,Dragon Ball Z: Collectible Card Game,78230,left_only
17630,Vampire Night,13902,left_only
17794,Shadow the Hedgehog,4105,left_only
18207,Vandal Hearts,5561,left_only
18318,Ace Combat 3: Electrosphere,14751,left_only
18396,Shining Force,3041,left_only
18446,Snooker,79490,left_only
18634,Knightmare II: The Maze of Galious,36671,left_only
18701,Street Fighter IV,884,left_only
18944,Duke Nukem Forever,490,left_only
18953,Deadliest Catch: Alaskan Storm,6962,left_only
19074,MX vs. ATV: Untamed,5028,left_only
19147,Super Mario Bros. 2,NA,left_only
19419,S.T.A.L.K.E.R.: Clear Sky,4840,left_only
19471,Deus Ex: Human Revolution,43,left_only
19535,Kingdom Hearts 358/2 Days,1223,left_only
19836,Jump Ultimate Stars,40263,left_only
20200,Meet the Robinsons,3884,left_only
21609,Harvest Moon: Animal Parade,3390,left_only
21731,Tomodachi Collection,71900,left_only
22015,Gold's Gym: Cardio Workout,4893,left_only
22272,Dragon Nest,23921,left_only
24257,Hustle Kings,52232,left_only
24394,Battlefield 3,343,left_only
24467,Beyblade: G-Revolution,9726,left_only
24762,Nancy Drew: Ransom of the Seven Ships,29201,left_only
25180,Rock Band 3,2691,left_only
25324,Enslaved: Odyssey to the West,2538,left_only
25376,Skate 3,2587,left_only
26446,Breakers Revenge,39558,left_only
26867,Nancy Drew: Warnings at Waverly Academy,15018,left_only
27169,The King of Fighters XIII,7038,left_only
27473,Persona 5,9927,left_only
28071,inFAMOUS 2,515,left_only
28662,Casual Games Collection,98819,left_only
28798,Edna & Harvey: The Breakout,15736,left_only
28813,Yakuza: Dead Souls,7489,left_only
29039,Need for Speed: Shift 2 Unleashed,7115,left_only
29345,Dissidia 012 Final Fantasy,24288,left_only
29407,Music on: Acoustic Guitar,79882,left_only
31434,AdventureQuest Worlds,107272,left_only
31568,SoulCalibur V,1013,left_only
31623,Party Animal,92431,left_only
31804,Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,47801,left_only
31871,Dead Frontier,59850,left_only
31906,Luigi's Mansion: Dark Moon,2476,left_only
31931,Rhythm Heaven Fever,5122,left_only
32864,Transformers: Fall of Cybertron,8361,left_only
33106,Muv-Luv,11778,left_only
33174,Crackin' DJ,76013,left_only
65946,Dance Central 3,19910,left_only
66002,FIFA Manager 13,20686,left_only
67828,POLDA3,64663,left_only
68005,Ninja Gaiden 3: Razor's Edge,5317,left_only
86501,Reaction Rally,64251,left_only
92923,Transformice,9628,left_only
126290,Driveclub,1940,left_only
309493,Happy Wheels,28227,left_only
313164,Ultra Street Fighter IV,6656,left_only
369439,Music Soul,63339,left_only
369513,TowerFall Ascension,9567,left_only
370323,Men of War: Assault Squad 2,5572,left_only
417697,Goat Simulator,5335,left_only
418058,Risen 3: Titan Lords,6142,left_only
459293,Project Reality 2,2942,left_only
459316,Extreme Warfare Revenge,76605,left_only
459623,Epic Battle Fantasy 4,16867,left_only
459916,Boom Beach,7870,left_only
460006,Monument Valley,8900,left_only
460018,Dark Deception,61859,left_only
460402,FIFA 15,7574,left_only
460851,The Legend of Korra,7877,left_only
476371,Salt and Sanctuary,7709,left_only
488635,Naruto Shippuden: Ultimate Ninja Storm 4,11059,left_only
488662,LISA: The Painful,8492,left_only
488751,Shadowrun: Hong Kong,11772,left_only
489032,Light Fall,36620,left_only
489326,Castle,10074,left_only
489376,Deus Ex: Mankind Divided,9498,left_only
489608,FIFA 16,11071,left_only
490005,Camera Obscura,26662,left_only
490432,Mafia III,11492,left_only
