user_id,login_name,user_name,broadcaster_type
142245923,whoisrobles,WhoIsRobles,affiliate
163299585,blastpremier,BLASTPremier,partner
430489690,lxver8,LxVer8,affiliate
184434824,rinnanahoshi,rinnanahoshi,affiliate
237895855,y0noah,Y0Noah,affiliate
1387921608,thedarksideofflora,TheDarkSideofFlora,normal
810254538,elucidation1142,Elucidation1142,normal
130236689,bluwunk,Bluwunk,partner
101941531,rayzenberg_,Rayzenberg_,affiliate
153043267,dragolaminius,Dragolaminius,affiliate
412155924,iabdullaae,iAbdullaAE,affiliate
1039843432,edwardwu00120,板橋土狗,normal
449462414,unicche,unicche,affiliate
865026373,hight_kill,Hight_Kill,affiliate
597721128,kaanraw24,KaanRAW24,normal
68698408,smokrider,SMOKRIDER,normal
1088913731,xkajuwu,xkajuwu,affiliate
503185416,dominik_audio,dominik_audio,affiliate
530563131,bacanscout,BacanScout,affiliate
454705241,bestyapro,bestyapro,normal
141787250,quinel84,quinel84,normal
262406324,cosmicfear777,cosmicfear777,affiliate
503726364,shaneaha,shaneaha,normal
487227684,mmakunouchi666,mmakunouchi666,normal
720732465,honey_meow_0316,阿夜丶,affiliate
202653760,loopytanuki,LoopyTanuki,normal
1344372837,iznuba,iznuba,normal
522584387,leshliepink,leshliepink,affiliate
254787651,7smango,7sMango,affiliate
43860044,officialmathu,OfficialMathu,normal
975028333,flahahaha2115,flahahaha2115,affiliate
524779673,shaggyperson,shaggyperson,normal
987349236,sergeantnofun,SergeantNoFun,affiliate
545423626,traperoh,Traperoh,normal
100040997,micahprotv,MicahProTV,normal
49856841,streambyslo,streambyslo,normal
1133379590,katsumatsu88,katsumatsu88,affiliate
48054304,ooziooze,OoziOoze,affiliate
587808896,leekbeats,LeekBeats,affiliate
418316427,ayrttv,AYRTTV,affiliate
801013933,mvtiiiiii,mvtiiiiii,normal
479871159,quante,quante,partner
153649362,alimeria,Alimeria,affiliate
1384267987,angelicmiku_,angelicmiku_,normal
37765191,xaxutv,XAXUtv,normal
168902732,kampsycho,Kampsycho,affiliate
45252658,roosterross,RoosterRoss,normal
116424845,milkotilevrusev,MilkoTilevRusev,normal
613826709,imroofus,imroofus,normal
655818965,lenhasdebonsai,LenhasdeBonsai,normal
532987995,sleepydoggo04,sleepydoggo04,normal
785989815,qmxsqqe00,qmxsqqe00,normal
801177808,cafthejoke,cafthejoke,normal
189972767,maviic,Maviic,affiliate
546095127,eingelvt,EingelVT,affiliate
756154416,shahahahaco,SHAHAHAHACO,affiliate
1372733526,sofaviking2000,sofaviking2000,normal
1072758920,mikazukitenma,三日月天魔,affiliate
480592159,itzzenyth,itzZenyth,affiliate
1152287009,streammelody,StreamMelody,affiliate
113836045,itsyuliy_,itsyuliy_,normal
617218085,selixa1209,Selixa1209,affiliate
1238499419,aquwilllll,aquwilllll,normal
128516203,cspraxy,cspraxy,normal
487784570,cronuss_of,cronuss_of,affiliate
906821883,devmox_,DevmoX_,affiliate
1210401095,klexaq123,klexaq123,normal
47349914,thefroppening,TheFroppening,affiliate
619511970,razorblades2008,razorblades2008,affiliate
1350270999,nordicloops,nordicloops,normal
1130840089,themysticmonkey09,TheMysticMonkey09,normal
242548777,tornzies,tornzies,normal
554467382,soundmusicgmbeat,soundmusicgmbeat,normal
577405110,nodivadjs,NODIVADJS,normal
62537947,hugejimbo,HugeJimbo,normal
676823044,waxradiotv,WaxradioTV,affiliate
1042448609,yisuppriot,yisuppriot,normal
598737146,4rivengeance,4RiVengeance,affiliate
1321402618,mntzippiy,MNTZippiy,normal
1387069746,ferygodd,Ferygodd,normal
1022951471,homirua12,Homirua12,normal
173162545,waveigl,waveigl,partner
1402290246,reeqo_cs2,reeqo_CS2,affiliate
1407107148,tizbug,tizbug,normal
37978230,saiya_gs,Saiya_GS,normal
875593855,sami1337__,saMi1337__,normal
812204196,gehnet,gehnet,normal
188809505,tapnocap,TapNoCap,affiliate
227491842,juniorfontinni,juniorfontinni,affiliate
514015314,angeliceuw,AngelicEUW,affiliate
1356398723,kasumi_n_sakura,Kasumi_n_Sakura,affiliate
43991207,gafanhoto_tv,gafanhoto_tv,affiliate
213991637,ricardovaralonga,RicardoVaralonga,affiliate
73662747,yukan4x,yuKAN4x,normal
278298913,edicarlo10,edicarlo10,normal
841007132,trippking123,trippking123,normal
37929085,sircwany,SirCwany,affiliate
449724627,pastaq88,PastaQ88,normal
192610529,paris,Paris,affiliate
259588355,lazefui,LazefuI,affiliate
503202270,thesistersofmondays,TheSistersofMondays,affiliate
276185668,inukamigrimzzy,InukamiGrimzzy,affiliate
126632539,katevolved,KatEvolved,partner
988217786,radioostgames,radioOSTgames,affiliate
1299481072,ml_247,mL_247,affiliate
498303558,shadowbonnye2,shadowbonnye2,normal
719635047,affluentheart,affluentheart,affiliate
1322533480,lax_calm,lax_calm,normal
518832779,katachi_____,Katachi_____,affiliate
124994203,rakattack,Rakattack,partner
685719915,sallvatrix,Sallvatrix,affiliate
433291653,luchitocabj_,luchitocabj_,affiliate
265617950,alacajam,Alacajam,affiliate
155320864,pipilives,PipiLives,affiliate
55165616,contractgtv,ContractGTV,affiliate
30835176,taf71399,Taf71399,affiliate
1413022251,fadedpigeon67676767676767,fadedpigeon67676767676767,normal
1271743043,thatmigrant,thatmigrant,affiliate
567771780,suivvi,Suivvi,affiliate
89670292,larxfps,Larxfps,affiliate
1381401251,yokoshimatf,yokoshimatf,normal
81363633,rhythm_guy,Rhythm_Guy,affiliate
743817600,dryayme,DrYayme,affiliate
499712578,bass_jamz,bass_jamz,affiliate
125223283,kerovski,KEROVSKI,affiliate
1174847919,axelek21,axelek21,normal
1361773047,sydfan22,sydfan22,normal
495141368,v0vans,v0vans,affiliate
722829835,tatoonb,TatoonB,affiliate
720274008,cannedbeans9576,cannedbeans9576,normal
60293758,raveydemon,Raveydemon,affiliate
95994395,huxan_tv,HuXaN_tv,normal
462520663,id_and_t_radio,id_and_t_radio,normal
953844067,hemeer_,hemeer_,affiliate
