igdb_id,category_id,game_name,genre_id
281485,1730141938,Night Runners,10
281485,1730141938,Night Runners,13
60,2769,The Secret of Monkey Island,2
60,2769,The Secret of Monkey Island,9
60,2769,The Secret of Monkey Island,31
301,4235,Microsoft Flight Simulator X,13
410,17929,Final Fantasy Legend III,12
410,17929,Final Fantasy Legend III,31
466,19329,"Warhammer 40,000: Dawn of War II",11
466,19329,"Warhammer 40,000: Dawn of War II",15
523,18827,Infamous,5
523,18827,Infamous,8
523,18827,Infamous,31
857,24517,Serious Sam: The First Encounter,5
857,24517,Serious Sam: The First Encounter,32
1039,657649007,The Legend of Zelda: Ocarina of Time 3D,9
1039,657649007,The Legend of Zelda: Ocarina of Time 3D,31
1531,23251,Jak and Daxter: The Lost Frontier,8
1531,23251,Jak and Daxter: The Lost Frontier,31
2324,9192,Pokémon Snap,13
2563,4769,Dragon Ball Z: Budokai,4
2688,19261,Animal Crossing: City Folk,13
2943,65955,Scribblenauts Unlimited,8
2943,65955,Scribblenauts Unlimited,9
2943,65955,Scribblenauts Unlimited,15
2943,65955,Scribblenauts Unlimited,31
3016,4761,Illusion of Gaia,12
3894,2034731736,Doshin the Giant,13
3894,2034731736,Doshin the Giant,15
6621,6818,Super Ghouls'n Ghosts,8
6621,6818,Super Ghouls'n Ghosts,31
7621,313518,RiME,8
7621,313518,RiME,9
7621,313518,RiME,31
7621,313518,RiME,32
7895,20422,La-Mulana,8
7895,20422,La-Mulana,9
7895,20422,La-Mulana,31
7895,20422,La-Mulana,32
8203,8054,Mario Paint,7
8203,8054,Mario Paint,9
8203,8054,Mario Paint,13
9669,15442,Shin Megami Tensei: Nocturne,12
9714,31858,Silent Hill: Book of Memories,25
9714,31858,Silent Hill: Book of Memories,31
9943,491020,The Universim,13
9943,491020,The Universim,15
9943,491020,The Universim,32
11212,11117,Star Ocean: Till the End of Time,12
11212,11117,Star Ocean: Till the End of Time,31
13156,15990,Evil Islands: Curse of the Lost Soul,12
13156,15990,Evil Islands: Curse of the Lost Soul,15
14530,11398,Super Bomberman 2,15
14530,11398,Super Bomberman 2,24
14530,11398,Super Bomberman 2,33
15916,313160,Mount Your Friends,13
15916,313160,Mount Your Friends,14
15916,313160,Mount Your Friends,32
16142,3232,Bishoujo Senshi Sailor Moon: Another Story,12
24139,30105,MTV Music Generator 3: This is the Remix,7
24815,497485,Cold Waters,11
24815,497485,Cold Waters,13
24815,497485,Cold Waters,15
24815,497485,Cold Waters,32
25009,848979564,Fahrenheit: Indigo Prophecy Remastered,12
25009,848979564,Fahrenheit: Indigo Prophecy Remastered,31
25172,27751,Fullmetal Alchemist: Brotherhood,31
26903,494165,Revelation Online,12
27088,496648,Party Hard 2,13
27088,496648,Party Hard 2,15
27088,496648,Party Hard 2,24
27088,496648,Party Hard 2,31
27088,496648,Party Hard 2,32
49140,29615,Ikari no Yousai 2,5
50390,1594121704,Limbo of the Lost,2
50390,1594121704,Limbo of the Lost,9
50390,1594121704,Limbo of the Lost,31
59746,490857,The Battle Cats,15
62116,458134,Master of Epic,12
70413,22574,Monster Hunter G,12
70413,22574,Monster Hunter G,15
81145,502429,Mario Tennis Aces,14
81145,502429,Mario Tennis Aces,31
90629,504916,b,32
92179,27219,Asylum,5
92179,27219,Asylum,8
95215,510393,Idol Manager,7
95215,510393,Idol Manager,13
95215,510393,Idol Manager,32
95215,510393,Idol Manager,34
102780,506231,Beware,10
108778,508698,Little Misfortune,2
108778,508698,Little Misfortune,8
108778,508698,Little Misfortune,9
108778,508698,Little Misfortune,31
108778,508698,Little Misfortune,32
108778,508698,Little Misfortune,33
112897,1003411608,Sonic the Hedgehog 2,8
112897,1003411608,Sonic the Hedgehog 2,33
116851,512854,Smile For Me,2
116851,512854,Smile For Me,9
116851,512854,Smile For Me,12
116851,512854,Smile For Me,31
121552,512051,Sacrifice Your Friends,31
121552,512051,Sacrifice Your Friends,32
126558,1564227769,The Monster Breeder,12
126558,1564227769,The Monster Breeder,13
126558,1564227769,The Monster Breeder,15
126558,1564227769,The Monster Breeder,16
126558,1564227769,The Monster Breeder,24
126558,1564227769,The Monster Breeder,32
132083,1899708249,Everhood,7
132083,1899708249,Everhood,12
132083,1899708249,Everhood,31
132083,1899708249,Everhood,32
134799,91628704,Dorfromantik,9
134799,91628704,Dorfromantik,13
134799,91628704,Dorfromantik,15
134799,91628704,Dorfromantik,16
134799,91628704,Dorfromantik,32
134799,91628704,Dorfromantik,35
134822,1582767179,Operation: Tango,9
134822,1582767179,Operation: Tango,15
134822,1582767179,Operation: Tango,31
134822,1582767179,Operation: Tango,32
138726,519272,The Infected,4
138726,519272,The Infected,13
138726,519272,The Infected,24
138726,519272,The Infected,32
140064,738153454,G String,5
140064,738153454,G String,31
140064,738153454,G String,32
140657,525703869,City Guesser,15
144651,388385521,Dragon Quest III: Soshite Densetsu he...,12
144651,388385521,Dragon Quest III: Soshite Densetsu he...,16
144651,388385521,Dragon Quest III: Soshite Densetsu he...,31
146063,338715930,Maitre des Fleurs,26
152258,573700992,Ixion,13
152258,573700992,Ixion,15
152258,573700992,Ixion,32
159733,2058786908,Northend Tower Defense,11
159733,2058786908,Northend Tower Defense,13
159733,2058786908,Northend Tower Defense,15
159733,2058786908,Northend Tower Defense,32
164994,585398439,Volcano Princess,12
164994,585398439,Volcano Princess,13
164994,585398439,Volcano Princess,16
164994,585398439,Volcano Princess,32
165455,320053571,AgarZ,15
165455,320053571,AgarZ,24
165455,320053571,AgarZ,32
168572,806888636,Gongo,32
171346,587754176,Santa Claus in Trouble HD,8
173033,1053691290,Ravenous Devils,13
173033,1053691290,Ravenous Devils,32
177910,886410314,Lookouts,32
177910,886410314,Lookouts,34
182468,1203449551,The Sandbox,31
188368,960093960,Outerplane,12
188368,960093960,Outerplane,15
188368,960093960,Outerplane,16
188368,960093960,Outerplane,31
190083,1190587387,Abandoned Archive,32
219606,938595369,Heroes of Science and Fiction,12
219606,938595369,Heroes of Science and Fiction,15
219606,938595369,Heroes of Science and Fiction,16
219606,938595369,Heroes of Science and Fiction,32
223095,425071017,Total Football,13
223095,425071017,Total Football,14
223095,425071017,Total Football,15
223095,425071017,Total Football,32
223275,427281650,Party Quiz,26
223275,427281650,Party Quiz,32
224806,894812953,The Karaoke,31
224806,894812953,The Karaoke,32
226217,1154189946,Altf42,31
226217,1154189946,Altf42,32
236169,1155182970,Whisper Mountain Outbreak,24
236169,1155182970,Whisper Mountain Outbreak,31
236169,1155182970,Whisper Mountain Outbreak,32
238626,1639974208,The Devourer: Hunted Souls,31
238626,1639974208,The Devourer: Hunted Souls,32
245659,1064990075,Letter Schmetter,9
251741,328311346,Ships at Sea,13
252784,1805970663,Tall Trails,31
252784,1805970663,Tall Trails,32
252869,1621885485,Last Train Home,11
252869,1621885485,Last Train Home,15
252869,1621885485,Last Train Home,24
273620,116613045,Coffee Caravan,15
273620,116613045,Coffee Caravan,32
280735,732628409,SOVL: Fantasy Warfare,15
280735,732628409,SOVL: Fantasy Warfare,32
287005,979223578,Cards Against Formality,35
292876,600328985,Worshippers of Cthulhu,13
292876,600328985,Worshippers of Cthulhu,15
294658,1601959379,Bunny Garden,13
294658,1601959379,Bunny Garden,31
294658,1601959379,Bunny Garden,32
294658,1601959379,Bunny Garden,34
301131,1768200870,Dünnes Eis: Das Spiel zum Song,2
301131,1768200870,Dünnes Eis: Das Spiel zum Song,7
301131,1768200870,Dünnes Eis: Das Spiel zum Song,31
301131,1768200870,Dünnes Eis: Das Spiel zum Song,32
312271,1711131894,Tattoo Tycoon,13
312271,1711131894,Tattoo Tycoon,15
312271,1711131894,Tattoo Tycoon,32
313169,1576041910,TNT: Evilution,5
324610,993910146,TrickShot Simulator,13
324610,993910146,TrickShot Simulator,32
328273,1579743743,All Will Fall,13
328273,1579743743,All Will Fall,15
328273,1579743743,All Will Fall,32
335684,924223016,Phase Zero,31
342011,505371550,Mycopunk,5
342011,505371550,Mycopunk,24
342011,505371550,Mycopunk,32
364392,843017201,Ash & Adam's Existential Treads,15
364392,843017201,Ash & Adam's Existential Treads,32
364392,843017201,Ash & Adam's Existential Treads,33
364990,962571700,Stocks,13
364990,962571700,Stocks,32
366999,1036446947,Absum,13
366999,1036446947,Absum,32
375820,1068460043,Don't Look at Grandma,9
375820,1068460043,Don't Look at Grandma,31
375820,1068460043,Don't Look at Grandma,32
381855,1195539165,Isolated Hours,32
381885,186860611,Apex Path: Bolt,8
381885,186860611,Apex Path: Bolt,32
382949,1601722398,Backrooms Santa,32
383172,1282128631,Paper Bride 7: Lethal Bond,2
383172,1282128631,Paper Bride 7: Lethal Bond,9
383172,1282128631,Paper Bride 7: Lethal Bond,31
383172,1282128631,Paper Bride 7: Lethal Bond,32
394,25244,Final Fantasy Tactics: The War of the Lions,12
394,25244,Final Fantasy Tactics: The War of the Lions,16
394,25244,Final Fantasy Tactics: The War of the Lions,24
394,25244,Final Fantasy Tactics: The War of the Lions,31
911,11350,Tom Clancy's Splinter Cell: Chaos Theory,5
911,11350,Tom Clancy's Splinter Cell: Chaos Theory,24
1443,32656,Fire Emblem Awakening,12
1443,32656,Fire Emblem Awakening,15
1502,16143,Front Mission 3,12
1502,16143,Front Mission 3,15
1502,16143,Front Mission 3,16
1721,17757,Mega Man 8,5
1721,17757,Mega Man 8,8
